HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
4.300000	-908.693404	-1587.099736	-1690.397588	697.972537	
4.350000	-935.481026	-1525.818625	-1668.643454	647.206563	
4.400000	-977.929261	-1519.406313	-1703.345820	602.953997	
4.450000	-1045.694328	-1562.979688	-1793.014957	566.991297	
4.500000	-1142.177586	-1644.781376	-1928.889437	537.829566	
4.550000	-1264.777469	-1747.649220	-2095.555934	512.430796	
4.600000	-1407.811116	-1852.271755	-2274.533942	489.221562	
4.650000	-1565.650636	-1938.763744	-2447.118410	470.827446	
4.700000	-1733.161415	-1987.925274	-2596.268894	463.769878	
4.750000	-1903.709505	-1984.686740	-2708.862552	474.505770	
4.800000	-2068.161603	-1920.571081	-2776.595959	506.360284	
4.850000	-2216.590799	-1795.405467	-2797.236252	558.771976	
4.900000	-2341.021078	-1617.236911	-2775.153402	627.978828	
4.950000	-2436.973886	-1400.103658	-2719.899651	708.009751	
5.000000	-2503.082833	-1162.153997	-2644.111454	790.379782	
5.050000	-2540.005220	-924.524981	-2561.474695	863.261635	
5.100000	-2551.140322	-708.164167	-2484.870686	913.909337	
5.150000	-2543.780561	-531.333979	-2426.119822	931.170381	
5.200000	-2529.200157	-406.671880	-2395.386125	907.943719	
5.250000	-2520.187928	-338.398317	-2399.129750	842.636939	
5.300000	-2528.003610	-322.830907	-2439.274659	738.215033	
5.350000	-2560.523985	-349.077342	-2513.109041	602.013992	
5.400000	-2621.015235	-400.459624	-2613.772651	445.288616	
5.450000	-2710.045254	-455.418352	-2733.317332	284.126837	
5.500000	-2823.090292	-490.904923	-2862.214582	136.212743	
5.550000	-2952.262055	-486.473833	-2992.020409	17.946589	
5.600000	-3085.262529	-427.770640	-3114.219474	-58.892901	
5.650000	-3208.216492	-309.205202	-3221.849944	-89.127069	
5.700000	-3307.556038	-132.593092	-3309.410660	-72.847480	
5.750000	-3372.841407	93.928579	-3374.117107	-14.696739	
5.800000	-3397.267746	357.275086	-3415.140637	76.726903	
5.850000	-3378.412892	639.649237	-3433.271200	188.342836	
5.900000	-3318.918066	921.160244	-3430.898805	304.441357	
5.950000	-3225.881166	1181.268577	-3411.103112	407.529942	
6.000000	-3109.823266	1403.309993	-3377.502813	482.448478	
6.050000	-2982.488891	1575.932646	-3333.255508	517.890780	
6.100000	-2855.023787	1694.059893	-3280.740645	507.682017	
6.150000	-2736.332047	1757.704572	-3220.915305	450.270825	
6.200000	-2632.633923	1772.606825	-3154.467130	349.620624	
6.250000	-2547.362503	1749.563573	-3082.850993	214.610526	
6.300000	-2481.728818	1704.674122	-3010.222855	58.734645	
6.350000	-2434.485953	1656.787827	-2942.990385	-102.351111	
6.400000	-2402.383840	1624.719970	-2889.096843	-253.539463	
6.450000	-2380.501488	1624.287183	-2856.334932	-382.683862	
6.500000	-2362.055056	1666.118808	-2850.151187	-481.553687	
6.550000	-2338.941813	1754.424918	-2872.350552	-546.130760	
6.600000	-2302.298567	1887.018961	-2920.586599	-575.840498	
6.650000	-2243.419529	2054.641927	-2987.574026	-573.485420	
6.700000	-2155.973110	2242.829795	-3062.972840	-544.703944	
6.750000	-2037.361986	2433.103543	-3134.180767	-497.742953	
6.800000	-1888.929316	2606.055414	-3188.178180	-441.698240	
6.850000	-1716.537775	2745.461664	-3214.892938	-385.388001	
6.900000	-1529.203960	2837.676131	-3205.789243	-337.323237	
6.950000	-1338.001751	2874.403229	-3155.910307	-304.423213	
7.000000	-1154.304544	2853.440895	-3064.259395	-291.303725	
7.050000	-988.038499	2778.733795	-2933.891773	-299.767708	
7.100000	-846.498670	2660.828965	-2772.817356	-328.716596	
7.150000	-733.117151	2515.439786	-2593.201456	-374.438270	
7.200000	-647.769391	2361.554644	-2410.354909	-432.128117	
7.250000	-587.844958	2217.988464	-2239.907920	-497.842048	
7.300000	-547.946952	2101.663329	-2096.283648	-568.181432	
7.350000	-520.361910	2025.182840	-1990.526253	-640.270826	
7.400000	-496.200166	1995.198967	-1928.825003	-711.805779	
7.450000	-466.224767	2012.229313	-1912.375313	-780.546606	
7.500000	-422.006673	2070.113343	-1936.785413	-843.991432	
7.550000	-356.928829	2157.072907	-1992.975602	-899.116306	
7.600000	-267.449251	2256.830087	-2067.910541	-942.633120	
7.650000	-153.352056	2352.076316	-2147.625503	-971.330862	
7.700000	-17.308416	2425.603083	-2218.110754	-981.751387	
7.750000	135.309388	2461.580400	-2266.258320	-970.442867	
7.800000	296.444648	2449.046351	-2282.567068	-935.732682	
7.850000	456.557569	2382.123613	-2261.149680	-877.587616	
7.900000	606.692041	2261.457958	-2201.388553	-797.593985	
7.950000	739.157186	2093.613901	-2107.230172	-699.394848	
8.000000	847.906326	1891.072223	-1986.811678	-589.643287	
8.050000	929.388157	1669.742181	-1850.510098	-476.878495	
8.100000	982.247340	1449.147661	-1710.545018	-372.657993	
8.150000	1008.770918	1247.333694	-1578.235177	-287.460936	
