HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RotThrust 	LSShftFya 	LSShftFza 	LSShftFys 	LSShftFzs 	LSShftTq  	RotPwr    	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kW)      	
2.750000	258.114990	32.625149	1113.057007	36.534042	-1112.935669	2559.437012	2803.667652	
2.800000	256.539215	94.369102	1091.899536	33.506718	-1095.457520	1803.785645	1968.209174	
2.850000	252.645401	157.349884	1062.818359	26.024006	-1074.087769	1261.984375	1369.604824	
2.900000	247.999435	219.085388	1026.492432	15.770048	-1049.493408	1075.053955	1159.428424	
2.950000	244.104935	277.080200	985.897522	5.207328	-1024.080200	1263.581177	1354.705920	
3.000000	241.633331	331.183167	946.469727	-4.063998	-1002.731628	1749.790649	1868.203133	
3.050000	240.583878	383.647400	913.008057	-11.809085	-990.267456	2394.654785	2552.534396	
3.100000	240.978302	436.743256	886.706726	-18.272713	-988.260925	3026.575684	3227.887549	
3.150000	243.059677	490.554169	865.502075	-22.972240	-994.590149	3469.852539	3706.684661	
3.200000	246.849533	543.346863	846.987854	-24.528791	-1005.988403	3589.818604	3840.749620	
3.250000	251.719559	593.847778	830.351685	-21.762333	-1020.620056	3344.935303	3581.028830	
3.300000	256.610809	642.531067	815.365295	-14.909755	-1038.000244	2812.199951	3008.486869	
3.350000	260.740601	690.345947	800.228394	-5.646890	-1056.840088	2161.642334	2307.081355	
3.400000	264.098938	736.593750	781.310120	4.067092	-1073.778198	1591.225708	1691.571888	
3.450000	267.177521	778.782288	755.268860	13.052220	-1084.786865	1258.384277	1330.969396	
3.500000	270.304840	814.923401	721.006226	20.707193	-1087.897583	1239.612915	1304.346076	
3.550000	273.329956	845.652649	679.254944	25.932005	-1084.363037	1523.651367	1596.696872	
3.600000	275.978851	873.631287	630.652100	26.708157	-1077.144531	2024.844727	2117.396934	
3.650000	278.388397	900.920898	574.869629	21.123585	-1068.497803	2604.102295	2722.861614	
3.700000	281.205414	927.380005	511.756256	8.862040	-1059.174072	3098.239746	3243.814697	
3.750000	285.070190	951.688049	442.857452	-8.342281	-1049.649170	3361.119141	3525.394954	
3.800000	290.093353	973.418457	371.351105	-27.657864	-1041.479736	3311.716309	3478.476064	
3.850000	295.769440	993.466125	300.466034	-46.452904	-1036.868774	2965.837646	3116.311531	
3.900000	301.448517	1012.469299	232.302475	-62.719124	-1036.882202	2432.707764	2553.290911	
3.950000	306.706482	1029.392944	168.184418	-74.605522	-1040.369995	1874.058960	1961.546685	
4.000000	311.344604	1042.159058	109.614525	-80.101158	-1044.841919	1447.837158	1509.170917	
4.050000	315.123871	1049.579712	58.261688	-77.572495	-1048.329346	1262.772461	1310.006633	
4.100000	317.725800	1052.288696	14.759933	-66.818497	-1050.268799	1357.192993	1401.885057	
4.150000	319.073730	1051.664673	-22.232601	-49.561714	-1050.731323	1697.411865	1748.184436	
4.200000	319.640289	1048.173706	-55.579674	-28.874947	-1049.249023	2187.227051	2250.162372	
4.250000	320.364136	1041.112305	-88.257393	-8.004353	-1044.815796	2688.593750	2767.354735	
4.300000	322.127228	1029.971680	-122.477631	10.425965	-1037.175903	3056.138916	3150.361579	
4.350000	325.229004	1015.645569	-159.942184	24.468735	-1027.870972	3182.020264	3285.805856	
4.400000	329.322113	1000.013855	-202.358932	32.646809	-1019.760193	3033.473633	3136.393438	
4.450000	333.750641	984.421326	-251.162537	34.092144	-1015.384460	2662.935059	2753.867001	
4.500000	337.931488	968.831970	-306.561157	29.055971	-1015.761169	2186.064941	2257.907724	
4.550000	341.459137	952.535583	-367.067474	19.200659	-1020.634094	1740.357544	1792.672991	
4.600000	344.000214	935.389648	-430.169312	7.205674	-1029.537476	1444.548950	1482.427383	
4.650000	345.297455	917.993591	-493.519165	-4.198030	-1042.235962	1371.101440	1401.561452	
4.700000	345.334839	900.639832	-555.421570	-13.047659	-1058.052368	1532.366699	1561.396806	
4.750000	344.512207	882.313782	-614.364258	-18.360506	-1074.980957	1878.321045	1910.236530	
4.800000	343.511749	861.016296	-668.464172	-19.799568	-1089.863037	2307.174805	2345.161769	
4.850000	342.919067	835.057922	-715.713745	-17.330570	-1099.667114	2691.802490	2737.761654	
4.900000	342.863922	803.897827	-754.895752	-11.310501	-1102.719849	2918.220459	2971.615013	
4.950000	343.005585	767.846313	-786.078613	-2.711843	-1098.863159	2922.637451	2979.672134	
5.000000	342.862885	727.273010	-810.179871	6.952762	-1088.700684	2710.718018	2765.217661	
5.050000	342.095703	682.410645	-828.229370	16.125200	-1073.027588	2350.889893	2396.906600	
5.100000	340.582245	633.918274	-841.303711	23.731070	-1053.129150	1950.665039	1985.247070	
5.150000	338.327332	583.242310	-851.104248	29.286707	-1031.354614	1621.309204	1645.300638	
5.200000	335.416931	532.247314	-860.342285	32.655376	-1011.142883	1450.260254	1466.784381	
5.250000	332.096924	482.300476	-872.148682	33.781216	-996.050171	1480.610352	1492.874452	
5.300000	328.879639	433.757721	-888.884705	32.728695	-988.529541	1700.388306	1710.745977	
5.350000	326.460815	386.281677	-911.414429	29.951878	-989.440552	2044.635742	2055.092901	
5.400000	325.405670	339.402649	-939.307739	26.340958	-998.398438	2411.134521	2423.901858	
5.450000	325.940674	292.744873	-971.465759	22.947460	-1014.356323	2692.574951	2709.549013	
5.500000	327.835815	245.723541	-1006.248230	20.495943	-1035.613525	2807.433838	2828.879967	
5.550000	330.668488	197.467438	-1041.176880	19.202654	-1059.563110	2727.231934	2751.025860	
5.600000	333.927673	147.192932	-1072.857056	18.931837	-1082.741577	2480.950439	2503.356637	
5.650000	337.135315	94.736076	-1097.658325	19.464478	-1101.567017	2145.013916	2162.675245	
5.700000	339.798340	40.625549	-1112.871948	20.523991	-1113.423950	1815.324463	1826.849683	
5.750000	341.510345	-14.298079	-1117.286255	21.676394	-1117.167603	1582.684937	1588.645234	
5.800000	342.083038	-69.408241	-1110.958618	22.174721	-1112.903809	1509.271973	1510.938205	
5.850000	341.723267	-124.449921	-1094.587280	21.047176	-1101.438110	1614.512329	1612.855495	
5.900000	341.006714	-179.302948	-1069.384766	17.463694	-1084.171631	1866.721924	1862.575734	
5.950000	340.609558	-233.778961	-1037.313965	11.107151	-1063.273071	2189.997559	2184.844206	
6.000000	341.076141	-287.701050	-1001.213501	2.289812	-1041.727173	2489.579346	2485.709322	
6.050000	342.634094	-341.062042	-964.259766	-8.186357	-1022.767334	2678.461670	2677.994857	
6.100000	345.275208	-393.917236	-929.134216	-19.168955	-1009.006348	2706.039551	2709.533469	
6.150000	348.812378	-446.123505	-897.460754	-29.293753	-1001.800293	2569.866211	2575.804843	
6.200000	352.923553	-497.176971	-869.922852	-37.066338	-1001.287659	2313.893799	2319.627360	
6.250000	357.170319	-546.385620	-846.652466	-41.079624	-1006.811890	2013.072266	2016.405305	
6.300000	361.123260	-593.183472	-827.344055	-40.367287	-1017.219360	1752.836670	1752.894759	
6.350000	364.537079	-637.289734	-810.967285	-34.783092	-1030.823120	1605.745850	1602.620730	
6.400000	367.493805	-678.580200	-795.587830	-25.115055	-1045.370850	1613.011841	1606.967907	
6.450000	370.353821	-716.986084	-778.669617	-12.942346	-1058.408203	1770.454712	1761.760738	
6.500000	373.541565	-752.530151	-757.805542	-0.223212	-1067.975098	2030.824219	2020.334687	
6.550000	377.339447	-785.507996	-731.213196	11.022955	-1073.114258	2317.700195	2307.332637	
6.600000	381.794495	-816.484863	-697.788086	18.943203	-1073.869995	2549.028809	2541.299320	
6.650000	386.741760	-846.003906	-656.929321	22.074396	-1070.883423	2661.452637	2658.167783	
6.700000	391.919800	-874.256226	-608.573608	19.648561	-1065.035034	2627.477539	2628.599179	
6.750000	396.995728	-901.058228	-553.464172	11.858171	-1057.396851	2461.817871	2465.493309	
