HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	
(s)	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	
3.150000	76.864952	76.069893	-5817.363281	-1252.786987	5899.935059	-199.737442	
3.200000	79.881493	75.119850	-5829.156250	-732.422852	6177.484375	-74.566177	
3.250000	81.636269	53.619572	-5845.771973	449.341797	6516.327637	62.332928	
3.300000	86.636429	14.774270	-5864.747559	2182.075928	7025.799316	195.565491	
3.350000	97.899300	-28.818890	-5883.416992	4084.896729	7773.407715	313.944061	
3.400000	113.271568	-63.977020	-5899.160645	5746.709473	8691.139648	412.216797	
3.450000	127.706009	-84.964714	-5909.868164	6951.449707	9633.294922	488.298645	
3.500000	138.677292	-93.608925	-5914.437500	7698.836914	10518.233398	537.129272	
3.550000	148.463516	-93.282501	-5913.025391	8059.874023	11390.135742	547.295288	
3.600000	160.981277	-84.697823	-5906.882324	8068.334473	12340.890625	504.225220	
3.650000	177.062485	-68.101006	-5897.892090	7767.692871	13386.719727	398.533997	
3.700000	193.621002	-48.117481	-5888.080566	7324.111328	14446.560547	232.052292	
3.750000	207.248459	-34.085876	-5879.261719	7022.201172	15429.889648	17.811165	
3.800000	217.918396	-34.155685	-5872.861816	7103.940918	16331.144531	-225.529938	
3.850000	228.467514	-48.874447	-5869.742188	7595.657227	17216.486328	-474.396484	
3.900000	240.855209	-70.856979	-5870.023438	8296.921875	18129.357422	-702.615967	
3.950000	253.621063	-90.678986	-5873.056641	8935.873047	19024.326172	-881.978394	
4.000000	263.465881	-102.926094	-5877.647949	9335.987305	19808.480469	-987.260437	
4.050000	268.955475	-107.090202	-5882.367188	9452.991211	20438.142578	-1004.424805	
4.100000	272.023712	-104.150063	-5885.852539	9297.354492	20958.349609	-936.118591	
4.150000	275.681152	-93.970642	-5887.000000	8870.450195	21444.806641	-800.833801	
4.200000	280.708740	-76.616592	-5885.156738	8193.197266	21916.861328	-626.584900	
4.250000	285.164795	-55.398048	-5880.312500	7376.399414	22324.285156	-444.187195	
4.300000	287.088562	-37.149395	-5873.188477	6618.477051	22616.162109	-282.149506	
4.350000	287.096924	-28.363539	-5865.184082	6097.921387	22807.324219	-163.640762	
4.400000	287.908356	-30.543468	-5858.107910	5848.400391	22967.710938	-102.203903	
4.450000	291.416229	-39.190891	-5853.745605	5732.454102	23145.990234	-98.680710	
4.500000	296.747040	-47.206726	-5853.456543	5535.063965	23319.037109	-140.755020	
4.550000	301.370026	-49.291962	-5857.924805	5088.727539	23420.587891	-208.355942	
4.600000	303.826996	-43.541538	-5867.105469	4327.093750	23411.431641	-281.043274	
4.650000	304.874512	-29.937639	-5880.224121	3255.724854	23309.808594	-344.804199	
4.700000	305.916992	-8.650270	-5895.796875	1910.872803	23151.585938	-394.593323	
4.750000	306.725189	19.445883	-5911.731445	367.813080	22930.964844	-432.357178	
4.800000	305.211609	50.861595	-5925.617188	-1219.973877	22594.964844	-464.042603	
4.850000	299.466339	79.140320	-5935.159180	-2624.724121	22096.585938	-496.910461	
4.900000	289.693665	97.489990	-5938.603516	-3624.378174	21444.703125	-537.349304	
4.950000	277.915405	102.559326	-5935.046875	-4109.586914	20697.701172	-588.539734	
5.000000	265.902771	96.071121	-5924.556152	-4130.310059	19911.113281	-647.799561	
5.050000	253.737488	83.076698	-5908.167969	-3849.126953	19098.937500	-705.098572	
5.100000	240.566223	68.789162	-5887.832520	-3448.510254	18252.027344	-746.164490	
5.150000	226.478729	56.853867	-5866.174805	-3076.525635	17386.207031	-757.097351	
5.200000	213.195312	49.738361	-5846.215820	-2842.798096	16558.974609	-727.990845	
5.250000	202.794418	49.495987	-5830.894043	-2828.743164	15836.258789	-655.394897	
5.300000	195.982513	57.144058	-5822.567383	-3066.372803	15247.677734	-541.894897	
5.350000	191.823013	71.082954	-5822.612793	-3497.201904	14779.037109	-395.830353	
5.400000	189.062744	86.583588	-5831.176758	-3964.748535	14404.012695	-230.792953	
5.450000	187.566605	97.605255	-5847.185059	-4269.849609	14122.460938	-65.351173	
5.500000	188.046371	99.795135	-5868.456055	-4262.450684	13950.946289	80.918762	
5.550000	190.768127	92.362831	-5892.056641	-3898.923584	13892.335938	191.822815	
5.600000	194.651535	77.568192	-5914.727539	-3235.626953	13911.006836	258.155457	
5.650000	198.029114	58.875977	-5933.358887	-2378.721436	13956.442383	279.043030	
5.700000	200.000488	39.548367	-5945.510742	-1443.015991	13997.666992	258.494843	
5.750000	201.019806	22.457333	-5949.721191	-536.269775	14040.923828	203.660309	
5.800000	202.004669	10.201038	-5945.655273	246.404434	14106.633789	123.040993	
5.850000	203.199112	4.557910	-5934.061523	843.225037	14202.245117	26.547474	
5.900000	204.004990	5.320176	-5916.719238	1256.661011	14316.628906	-75.778275	
5.950000	203.974915	9.686528	-5896.157715	1567.375244	14444.333984	-173.044037	
6.000000	203.741501	13.201786	-5875.301758	1906.275879	14609.949219	-255.529007	
6.050000	204.657867	11.802626	-5856.982422	2393.228271	14854.874023	-314.341614	
6.100000	207.692459	3.633400	-5843.549805	3084.596436	15209.519531	-340.851868	
6.150000	212.706375	-10.663751	-5836.504395	3960.850342	15673.366211	-326.404999	
6.200000	218.924408	-28.921385	-5836.335938	4951.222656	16226.431641	-264.618774	
6.250000	225.945251	-48.539936	-5842.529297	5964.462402	16855.042969	-153.344788	
6.300000	234.148376	-66.857040	-5853.697266	6903.949219	17562.597656	3.035106	
6.350000	244.063171	-81.167526	-5867.848633	7674.430176	18354.064453	193.531357	
6.400000	255.548340	-89.174034	-5882.692871	8199.136719	19215.390625	401.878662	
6.450000	267.730072	-90.061920	-5896.051758	8450.092773	20112.429688	608.267517	
6.500000	279.753357	-85.216156	-5906.213379	8466.281250	21011.009766	791.804810	
6.550000	291.445709	-77.785667	-5912.171387	8339.552734	21894.910156	933.184753	
6.600000	303.159790	-71.145142	-5913.682129	8170.016602	22762.486328	1017.077820	
6.650000	314.997101	-67.384209	-5911.204102	8022.168457	23606.888672	1035.235962	
6.700000	326.396088	-66.813637	-5905.721680	7908.197266	24406.503906	988.403381	
6.750000	336.488770	-68.469078	-5898.554199	7800.311035	25133.708984	887.130310	
6.800000	344.820801	-70.820084	-5891.147949	7651.221680	25773.017578	749.272705	
6.850000	351.642487	-72.012222	-5884.855469	7404.153320	26328.451172	597.136292	
6.900000	357.408447	-70.014107	-5880.715820	7002.079102	26811.662109	454.639313	
6.950000	362.145416	-63.073750	-5879.245605	6403.454102	27224.363281	343.516968	
7.000000	365.382660	-50.645451	-5880.345703	5608.796387	27555.548828	279.782013	
7.050000	366.724609	-34.005047	-5883.336914	4675.840332	27797.207031	271.170258	
7.100000	366.319275	-15.981452	-5887.112305	3708.589844	27954.824219	316.424225	
7.150000	364.767914	0.115386	-5890.413086	2823.145996	28045.994141	405.959778	
7.200000	362.597382	11.785629	-5892.093262	2106.592773	28085.685547	525.510742	
7.250000	359.971588	17.962519	-5891.413086	1595.122070	28080.982422	659.895447	
7.300000	356.879395	19.059381	-5888.192871	1270.341919	28033.550781	795.417114	
7.350000	353.584503	16.566689	-5882.877441	1071.422119	27951.861328	920.805603	
7.400000	350.701904	12.758098	-5876.422363	908.872742	27853.455078	1028.599487	
7.450000	348.793182	10.373822	-5870.120117	680.365723	27754.107422	1114.629883	
7.500000	347.900726	12.065016	-5865.364746	293.326416	27655.558594	1177.062378	
7.550000	347.565369	19.539539	-5863.420898	-306.553741	27546.724609	1215.180542	
7.600000	347.278046	32.805729	-5865.169434	-1112.071655	27417.462891	1228.859009	
7.650000	346.841431	50.005341	-5870.984863	-2051.473389	27265.710938	1218.321289	
7.700000	346.273804	68.129562	-5880.537598	-3010.353271	27095.271484	1183.820435	
7.750000	345.416595	84.043663	-5892.838379	-3866.183105	26905.271484	1125.490967	
7.800000	343.789612	95.355293	-5906.282227	-4517.707520	26685.927734	1045.853882	
7.850000	340.825684	100.731163	-5918.892578	-4900.445312	26425.466797	949.334778	
7.900000	336.263702	99.936760	-5928.656738	-4992.526855	26117.750000	841.775940	
7.950000	330.336945	93.841484	-5933.872070	-4815.665039	25770.386719	730.298828	
8.000000	323.516754	84.339691	-5933.430664	-4430.898438	25398.605469	623.514343	
8.050000	316.175537	73.906067	-5927.068359	-3924.208496	25017.267578	529.609680	
8.100000	308.565613	64.830467	-5915.368652	-3379.015869	24640.560547	457.626434	
8.150000	301.015991	58.396683	-5899.815430	-2852.742432	24285.125000	413.023743	
8.200000	294.167664	54.557148	-5882.525879	-2362.560059	23977.189453	398.567810	
8.250000	288.788940	52.166245	-5865.953125	-1890.584351	23745.734375	411.982849	
8.300000	285.430450	49.584854	-5852.485840	-1399.417480	23613.000000	447.364441	
8.350000	284.234375	45.278976	-5844.093750	-850.033813	23588.884766	496.019684	
8.400000	285.098358	38.206402	-5842.044922	-214.679337	23674.548828	548.604065	
8.450000	287.960327	28.012438	-5846.736328	514.758789	23870.146484	596.608093	
8.500000	292.847107	15.119667	-5857.646973	1322.571777	24175.083984	632.418518	
8.550000	299.659119	0.723068	-5873.375488	2170.254395	24582.302734	651.423828	
8.600000	307.926849	-13.424522	-5891.875488	3002.062256	25071.232422	650.651001	
8.650000	316.920258	-25.540861	-5910.708008	3763.466797	25614.820312	628.388550	
8.700000	325.893219	-34.451904	-5927.394043	4418.431152	26182.837891	583.232849	
8.750000	334.360565	-40.018040	-5939.758789	4962.804199	26751.708984	513.947571	
8.800000	342.089935	-43.068241	-5946.268066	5421.172852	27305.439453	418.942932	
8.850000	348.945251	-44.967140	-5946.216309	5834.659180	27833.634766	298.004272	
8.900000	354.800873	-47.123322	-5939.836426	6245.739258	28330.310547	153.945114	
8.950000	359.614471	-50.631382	-5928.270508	6682.642090	28793.017578	-7.039846	
9.000000	363.632599	-56.113621	-5913.331055	7157.073242	29231.408203	-174.843887	
9.050000	367.308685	-63.542301	-5897.220215	7657.883789	29660.353516	-337.388306	
9.100000	371.102814	-72.116478	-5882.186523	8149.749023	30094.939453	-481.444550	
9.150000	375.280640	-80.366257	-5870.199219	8578.969727	30544.152344	-594.503784	
9.200000	379.922333	-86.601997	-5862.687012	8888.303711	31011.597656	-666.900513	
9.250000	385.068115	-89.531509	-5860.377441	9035.644531	31498.269531	-693.950867	
9.300000	390.818085	-88.711014	-5863.245117	9007.462891	32005.167969	-676.913513	
9.350000	397.274963	-84.588631	-5870.552734	8820.156250	32531.572266	-622.964417	
9.400000	404.398834	-78.236557	-5880.991699	8511.762695	33072.710938	-544.325806	
9.450000	411.928711	-70.987175	-5892.909668	8129.563477	33615.648438	-456.882812	
9.500000	419.507507	-64.111099	-5904.562012	7717.941895	34143.753906	-377.755707	
9.550000	426.831055	-58.536613	-5914.389648	7308.095215	34639.808594	-322.187897	
9.600000	433.720154	-54.570679	-5921.239258	6908.954590	35090.382812	-301.810974	
9.650000	440.018066	-51.735416	-5924.525391	6503.320312	35482.917969	-323.222473	
9.700000	445.506073	-48.835209	-5924.281250	6051.176758	35805.191406	-387.070770	
9.750000	449.924255	-44.343266	-5921.117188	5503.855469	36046.734375	-488.461487	
9.800000	453.079865	-36.929771	-5916.077637	4820.886230	36200.812500	-618.047302	
9.850000	454.963867	-25.950882	-5910.422852	3987.894775	36270.726562	-764.045044	
9.900000	455.642059	-11.634708	-5905.372559	3021.578613	36261.753906	-914.061890	
9.950000	455.176483	4.980206	-5901.867188	1969.196289	36181.406250	-1056.387817	
10.000000	453.569580	22.304296	-5900.400879	899.044617	36036.324219	-1181.195679	
10.050000	450.832458	38.532543	-5900.959473	-112.455414	35832.921875	-1281.147461	
10.100000	447.097717	52.007198	-5903.078613	-995.026733	35580.066406	-1351.661011	
10.150000	442.633514	61.583603	-5905.966797	-1698.691162	35289.722656	-1390.856812	
10.200000	437.748077	66.916748	-5908.691406	-2204.267578	34974.148438	-1398.978027	
10.250000	432.695587	68.551849	-5910.370605	-2526.516602	34643.878906	-1378.645142	
10.300000	427.649841	67.742317	-5910.347168	-2708.113525	34306.058594	-1333.949829	
10.350000	422.794617	66.048607	-5908.326660	-2805.788330	33967.718750	-1271.061768	
10.400000	418.359467	64.885155	-5904.463379	-2874.617920	33637.101562	-1197.655396	
10.450000	414.573181	65.187881	-5899.344727	-2955.612549	33322.097656	-1122.282471	
10.500000	411.574951	67.266022	-5893.920898	-3068.834961	33028.058594	-1053.259888	
10.550000	409.395203	70.808723	-5889.338867	-3211.734375	32758.449219	-998.165710	
10.600000	408.017212	75.007095	-5886.735352	-3361.781006	32518.076172	-963.496887	
10.650000	407.380463	78.764587	-5886.987793	-3483.481445	32308.996094	-952.786560	
10.700000	407.413574	80.997040	-5890.526367	-3538.181885	32132.992188	-966.785706	
10.750000	407.993805	80.946770	-5897.202637	-3494.299805	31990.353516	-1003.796936	
10.800000	408.873413	78.380257	-5906.285645	-3334.866943	31876.048828	-1058.979126	
10.850000	409.748230	73.601303	-5916.568848	-3059.242920	31782.357422	-1125.433960	
10.900000	410.355347	67.271683	-5926.547852	-2679.671875	31701.945312	-1195.328613	
10.950000	410.534119	60.149513	-5934.666504	-2214.547852	31629.361328	-1260.789307	
11.000000	410.245270	52.845081	-5939.559570	-1681.066528	31562.986328	-1314.923584	
11.050000	409.536499	45.663780	-5940.272949	-1090.860229	31504.472656	-1352.624146	
11.100000	408.514099	38.549870	-5936.429199	-448.352783	31458.054688	-1370.951904	
11.150000	407.357788	31.144018	-5928.309570	247.706406	31429.957031	-1369.207642	
11.200000	406.356476	22.930559	-5916.830566	1000.713196	31431.044922	-1348.276367	
11.250000	405.905334	13.472420	-5903.448242	1809.104980	31475.236328	-1310.049316	
11.300000	406.375092	2.611025	-5889.946777	2661.323486	31574.974609	-1256.329468	
11.350000	408.055511	-9.396914	-5878.187500	3533.220703	31740.542969	-1189.181030	
11.400000	411.109955	-21.868538	-5869.830078	4388.560059	31977.439453	-1110.493164	
11.450000	415.609314	-33.842834	-5866.086426	5185.364746	32287.921875	-1022.055664	
11.500000	421.542847	-44.331429	-5867.515137	5884.639648	32670.867188	-926.346558	
11.550000	428.790619	-52.567749	-5873.929688	6458.004883	33119.992188	-826.558289	
11.600000	437.097839	-58.197334	-5884.428223	6894.315430	33623.796875	-726.674744	
11.650000	446.079803	-61.335052	-5897.521484	7200.501953	34166.039062	-632.294067	
11.700000	455.286255	-62.519695	-5911.361816	7399.072266	34727.390625	-548.693909	
11.750000	464.297791	-62.554852	-5924.034180	7521.184570	35288.671875	-480.997253	
11.800000	472.761108	-62.289467	-5933.820801	7598.155762	35831.835938	-432.989014	
11.850000	480.413818	-62.376312	-5939.462402	7653.106934	36342.750000	-406.364532	
11.900000	487.050598	-63.078323	-5940.313477	7694.156738	36809.953125	-399.987946	
11.950000	492.549896	-64.197281	-5936.421875	7712.721191	37225.949219	-409.828705	
