HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
6.700000	0.125808	-0.054577	-0.000160	
6.750000	0.129529	-0.052599	-0.000168	
6.800000	0.132975	-0.050000	-0.000168	
6.850000	0.136121	-0.046894	-0.000175	
6.900000	0.138946	-0.043420	-0.000175	
6.950000	0.141429	-0.039733	-0.000183	
7.000000	0.143553	-0.035991	-0.000183	
7.050000	0.145307	-0.032336	-0.000183	
7.100000	0.146690	-0.028875	-0.000191	
7.150000	0.147710	-0.025670	-0.000191	
7.200000	0.148386	-0.022725	-0.000191	
7.250000	0.148748	-0.019990	-0.000191	
7.300000	0.148830	-0.017373	-0.000191	
7.350000	0.148674	-0.014763	-0.000191	
7.400000	0.148316	-0.012050	-0.000191	
7.450000	0.147791	-0.009154	-0.000183	
7.500000	0.147121	-0.006048	-0.000183	
7.550000	0.146322	-0.002765	-0.000183	
7.600000	0.145400	0.000598	-0.000175	
7.650000	0.144358	0.003891	-0.000175	
7.700000	0.143198	0.006936	-0.000175	
7.750000	0.141926	0.009548	-0.000168	
7.800000	0.140554	0.011566	-0.000168	
7.850000	0.139107	0.012871	-0.000160	
7.900000	0.137619	0.013402	-0.000160	
7.950000	0.136134	0.013156	-0.000160	
8.000000	0.134701	0.012184	-0.000153	
8.050000	0.133377	0.010572	-0.000153	
8.100000	0.132214	0.008424	-0.000145	
8.150000	0.131266	0.005846	-0.000145	
8.200000	0.130581	0.002929	-0.000145	
8.250000	0.130204	-0.000256	-0.000145	
8.300000	0.130170	-0.003659	-0.000145	
8.350000	0.130507	-0.007248	-0.000145	
8.400000	0.131231	-0.010995	-0.000153	
8.450000	0.132343	-0.014875	-0.000153	
8.500000	0.133832	-0.018853	-0.000160	
8.550000	0.135670	-0.022884	-0.000160	
8.600000	0.137815	-0.026914	-0.000168	
8.650000	0.140216	-0.030881	-0.000175	
8.700000	0.142818	-0.034718	-0.000183	
8.750000	0.145564	-0.038361	-0.000191	
8.800000	0.148404	-0.041754	-0.000206	
8.850000	0.151299	-0.044847	-0.000214	
8.900000	0.154221	-0.047601	-0.000221	
8.950000	0.157154	-0.049989	-0.000237	
9.000000	0.160090	-0.051996	-0.000244	
9.050000	0.163031	-0.053617	-0.000252	
9.100000	0.165977	-0.054855	-0.000267	
9.150000	0.168926	-0.055723	-0.000275	
9.200000	0.171870	-0.056240	-0.000282	
9.250000	0.174792	-0.056425	-0.000290	
9.300000	0.177663	-0.056295	-0.000298	
9.350000	0.180450	-0.055859	-0.000305	
9.400000	0.183113	-0.055114	-0.000313	
9.450000	0.185608	-0.054039	-0.000320	
9.500000	0.187896	-0.052596	-0.000328	
9.550000	0.189940	-0.050736	-0.000336	
9.600000	0.191709	-0.048406	-0.000336	
9.650000	0.193180	-0.045563	-0.000336	
9.700000	0.194336	-0.042187	-0.000336	
9.750000	0.195166	-0.038295	-0.000336	
9.800000	0.195664	-0.033948	-0.000336	
9.850000	0.195829	-0.029254	-0.000336	
9.900000	0.195665	-0.024362	-0.000336	
9.950000	0.195184	-0.019448	-0.000328	
10.000000	0.194400	-0.014697	-0.000320	
10.050000	0.193337	-0.010282	-0.000320	
10.100000	0.192027	-0.006342	-0.000313	
10.150000	0.190506	-0.002970	-0.000313	
10.200000	0.188814	-0.000205	-0.000305	
10.250000	0.186995	0.001968	-0.000298	
10.300000	0.185090	0.003607	-0.000290	
10.350000	0.183141	0.004799	-0.000282	
10.400000	0.181186	0.005639	-0.000282	
10.450000	0.179258	0.006217	-0.000275	
10.500000	0.177387	0.006597	-0.000267	
10.550000	0.175597	0.006812	-0.000259	
10.600000	0.173909	0.006857	-0.000259	
10.650000	0.172342	0.006698	-0.000252	
10.700000	0.170908	0.006277	-0.000244	
10.750000	0.169617	0.005527	-0.000244	
10.800000	0.168476	0.004382	-0.000237	
10.850000	0.167491	0.002792	-0.000237	
10.900000	0.166666	0.000727	-0.000237	
10.950000	0.166003	-0.001816	-0.000229	
11.000000	0.165509	-0.004810	-0.000229	
11.050000	0.165191	-0.008206	-0.000229	
11.100000	0.165059	-0.011932	-0.000229	
11.150000	0.165128	-0.015901	-0.000229	
11.200000	0.165415	-0.020018	-0.000237	
11.250000	0.165937	-0.024185	-0.000237	
