HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	HSSBrTqC  	YawMomCom 	
(s)	(kN-m)    	(kN-m)    	
7.650000	0.000000	1197801.778927	
7.700000	0.000000	1138291.103685	
7.750000	0.000000	1056964.215796	
7.800000	0.000000	958928.620137	
7.850000	0.000000	851208.071033	
7.900000	0.000000	742305.842633	
7.950000	0.000000	641095.800669	
8.000000	0.000000	555986.953481	
8.050000	0.000000	493790.086836	
8.100000	0.000000	458848.328246	
8.150000	0.000000	452289.434231	
8.200000	0.000000	471233.009643	
8.250000	0.000000	509232.447706	
8.300000	0.000000	557337.577386	
8.350000	0.000000	605852.324357	
8.400000	0.000000	645835.706376	
8.450000	0.000000	670768.713479	
8.500000	0.000000	676519.649262	
8.550000	0.000000	661894.019971	
8.600000	0.000000	627878.588845	
8.650000	0.000000	576138.186430	
8.700000	0.000000	507823.575381	
8.750000	0.000000	423198.295136	
8.800000	0.000000	321827.418341	
8.850000	0.000000	203531.453839	
8.900000	0.000000	70182.465868	
8.950000	0.000000	-73040.614593	
9.000000	0.000000	-218153.169040	
9.050000	0.000000	-354500.141135	
9.100000	0.000000	-470896.880252	
9.150000	0.000000	-557332.232099	
9.200000	0.000000	-606995.071101	
9.250000	0.000000	-617579.344246	
9.300000	0.000000	-592088.439068	
9.350000	0.000000	-538666.890401	
9.400000	0.000000	-469528.083095	
9.450000	0.000000	-399231.799164	
9.500000	0.000000	-342412.281377	
9.550000	0.000000	-311532.552688	
9.600000	0.000000	-315516.132609	
9.650000	0.000000	-358247.133823	
9.700000	0.000000	-438486.773524	
9.750000	0.000000	-550257.572030	
9.800000	0.000000	-684130.885676	
9.850000	0.000000	-828761.917810	
9.900000	0.000000	-972418.358203	
9.950000	0.000000	-1104474.130951	
10.000000	0.000000	-1216152.751862	
10.050000	0.000000	-1301236.025014	
10.100000	0.000000	-1355980.986842	
10.150000	0.000000	-1379057.430003	
10.200000	0.000000	-1371518.068973	
10.250000	0.000000	-1336538.032892	
10.300000	0.000000	-1279383.661665	
10.350000	0.000000	-1207370.427077	
10.400000	0.000000	-1129362.529413	
10.450000	0.000000	-1054938.742331	
10.500000	0.000000	-993387.929576	
10.550000	0.000000	-952569.480472	
10.600000	0.000000	-937780.385554	
10.650000	0.000000	-950874.684710	
10.700000	0.000000	-990219.643163	
10.750000	0.000000	-1050823.442707	
10.800000	0.000000	-1124977.926736	
10.850000	0.000000	-1203626.859176	
10.900000	0.000000	-1277495.163899	
10.950000	0.000000	-1338083.097769	
11.000000	0.000000	-1379168.700370	
11.050000	0.000000	-1397353.385087	
11.100000	0.000000	-1391939.312399	
11.150000	0.000000	-1364693.628026	
11.200000	0.000000	-1319379.895956	
11.250000	0.000000	-1259771.225538	
11.300000	0.000000	-1190143.806826	
11.350000	0.000000	-1114270.934712	
11.400000	0.000000	-1034619.122058	
11.450000	0.000000	-952929.700753	
11.500000	0.000000	-870960.979060	
11.550000	0.000000	-790346.048441	
11.600000	0.000000	-713406.149849	
11.650000	0.000000	-642993.560687	
11.700000	0.000000	-582140.934913	
11.750000	0.000000	-533771.463256	
11.800000	0.000000	-499836.210471	
11.850000	0.000000	-480551.649291	
11.900000	0.000000	-474165.561999	
11.950000	0.000000	-476778.457037	
12.000000	0.000000	-482604.527448	
12.050000	0.000000	-484668.113554	
12.100000	0.000000	-475860.374065	
12.150000	0.000000	-449918.612033	
12.200000	0.000000	-401984.226592	
12.250000	0.000000	-329651.638339	
12.300000	0.000000	-233387.154662	
12.350000	0.000000	-116213.242536	
12.400000	0.000000	16684.318086	
12.450000	0.000000	158444.660804	
12.500000	0.000000	301401.955645	
12.550000	0.000000	438099.877596	
12.600000	0.000000	561968.643050	
12.650000	0.000000	667480.622533	
12.700000	0.000000	750877.555982	
12.750000	0.000000	810373.973063	
12.800000	0.000000	846129.926207	
12.850000	0.000000	860209.904849	
12.900000	0.000000	856637.287007	
12.950000	0.000000	841019.683840	
13.000000	0.000000	820263.985788	
13.050000	0.000000	801933.618923	
13.100000	0.000000	793291.117018	
13.150000	0.000000	800426.841910	
13.200000	0.000000	827447.241519	
13.250000	0.000000	875696.938451	
13.300000	0.000000	943479.859504	
13.350000	0.000000	1026252.917715	
13.400000	0.000000	1117295.539631	
13.450000	0.000000	1208507.048798	
13.500000	0.000000	1291636.383335	
13.550000	0.000000	1359502.104912	
13.600000	0.000000	1406751.253826	
13.650000	0.000000	1430534.531254	
13.700000	0.000000	1430822.261198	
13.750000	0.000000	1409669.197874	
13.800000	0.000000	1371063.385657	
13.850000	0.000000	1320207.289881	
13.900000	0.000000	1262436.128734	
13.950000	0.000000	1202485.945044	
14.000000	0.000000	1144107.997386	
14.050000	0.000000	1089841.161234	
14.100000	0.000000	1040837.268941	
14.150000	0.000000	997425.522123	
14.200000	0.000000	959561.127987	
14.250000	0.000000	927098.766428	
14.300000	0.000000	900187.546144	
14.350000	0.000000	878779.745945	
14.400000	0.000000	862676.032665	
14.450000	0.000000	851510.642768	
14.500000	0.000000	844240.830234	
14.550000	0.000000	838950.084454	
14.600000	0.000000	833162.030544	
14.650000	0.000000	824006.296089	
14.700000	0.000000	808147.821045	
14.750000	0.000000	782566.758773	
14.800000	0.000000	744993.909387	
14.850000	0.000000	694110.093326	
14.900000	0.000000	629787.461680	
14.950000	0.000000	553195.752439	
15.000000	0.000000	466701.102909	
15.050000	0.000000	373480.264647	
15.100000	0.000000	277294.654354	
15.150000	0.000000	182445.536126	
15.200000	0.000000	93346.467640	
15.250000	0.000000	13605.352602	
15.300000	0.000000	-53494.624543	
15.350000	0.000000	-105806.382354	
15.400000	0.000000	-142497.514752	
15.450000	0.000000	-164017.952132	
15.500000	0.000000	-172481.074293	
15.550000	0.000000	-171419.712986	
15.600000	0.000000	-165749.743658	
15.650000	0.000000	-161219.178253	
15.700000	0.000000	-163532.876758	
15.750000	0.000000	-177629.063440	
15.800000	0.000000	-206910.730763	
15.850000	0.000000	-252729.412872	
15.900000	0.000000	-314243.665008	
15.950000	0.000000	-388408.957701	
16.000000	0.000000	-470430.393969	
16.050000	0.000000	-554692.228430	
16.100000	0.000000	-635099.824138	
16.150000	0.000000	-705823.884952	
16.200000	0.000000	-762338.229161	
16.250000	0.000000	-801922.564767	
16.300000	0.000000	-823814.847096	
16.350000	0.000000	-829208.749584	
