HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	HSShftTq  	HSSBrTq   	HSShftPwr 	HSSGenPwr 	
(s)	(kN-m)    	(kN-m)    	(kW)      	(kW)      	
4.700000	15.797595	0.000000	1549.603844	2336.492958	
4.750000	19.364134	0.000000	1891.352352	2314.984921	
4.800000	23.785307	0.000000	2323.381891	2304.168086	
4.850000	27.750541	0.000000	2721.557459	2304.233975	
4.900000	30.084747	0.000000	2969.059842	2312.267197	
4.950000	30.130283	0.000000	2992.438758	2323.209939	
5.000000	27.945547	0.000000	2787.310286	2331.412908	
5.050000	24.235978	0.000000	2419.195557	2332.269694	
5.100000	20.109949	0.000000	2001.143559	2323.453507	
5.150000	16.714528	0.000000	1652.831603	2305.463914	
5.200000	14.951137	0.000000	1466.723007	2281.399908	
5.250000	15.264024	0.000000	1485.997738	2256.048926	
5.300000	17.529776	0.000000	1697.353957	2234.514832	
5.350000	21.078719	0.000000	2037.138191	2220.747167	
5.400000	24.857057	0.000000	2406.819340	2216.405196	
5.450000	27.758505	0.000000	2700.574413	2220.436943	
5.500000	28.942617	0.000000	2832.489072	2229.481369	
5.550000	28.115793	0.000000	2765.680256	2238.930458	
5.600000	25.576809	0.000000	2522.687305	2244.281936	
5.650000	22.113546	0.000000	2179.752031	2242.382525	
5.700000	18.714685	0.000000	1837.621385	2232.245145	
5.750000	16.316340	0.000000	1592.295258	2215.272308	
5.800000	15.559505	0.000000	1508.036017	2194.834466	
5.850000	16.644457	0.000000	1603.872679	2175.296851	
5.900000	19.244556	0.000000	1848.487099	2160.739026	
5.950000	22.577294	0.000000	2168.881330	2153.754103	
6.000000	25.665766	0.000000	2473.481203	2154.730523	
6.050000	27.613007	0.000000	2674.806192	2161.831995	
6.100000	27.897315	0.000000	2716.943571	2171.623842	
6.150000	26.493466	0.000000	2590.598271	2180.098577	
6.200000	23.854575	0.000000	2335.985083	2183.795524	
6.250000	20.753322	0.000000	2029.234711	2180.730437	
6.300000	18.070481	0.000000	1759.726733	2170.923636	
6.350000	16.554081	0.000000	1603.176900	2156.380416	
6.400000	16.628988	0.000000	1601.696675	2140.502728	
6.450000	18.252110	0.000000	1751.317965	2127.080095	
6.500000	20.936332	0.000000	2006.545790	2119.168420	
6.550000	23.893816	0.000000	2294.066506	2118.223976	
6.600000	26.278648	0.000000	2533.465302	2123.755335	
6.650000	27.437656	0.000000	2659.094370	2133.550040	
6.700000	27.087397	0.000000	2637.950667	2144.350678	
6.750000	25.379566	0.000000	2479.502174	2152.769352	
6.800000	22.825485	0.000000	2231.527558	2156.195691	
6.850000	20.154466	0.000000	1966.667457	2153.489048	
6.900000	18.102339	0.000000	1759.570562	2145.276448	
6.950000	17.228649	0.000000	1666.725988	2133.756574	
7.000000	17.747055	0.000000	1709.627273	2122.042304	
7.050000	19.469930	0.000000	1870.870850	2113.227615	
7.100000	21.870573	0.000000	2101.264960	2109.486564	
7.150000	24.235326	0.000000	2333.634053	2111.491724	
7.200000	25.905306	0.000000	2504.088931	2118.303547	
7.250000	26.432600	0.000000	2566.237097	2127.713665	
7.300000	25.721997	0.000000	2506.369092	2136.900293	
7.350000	24.009443	0.000000	2344.085910	2143.212134	
7.400000	21.807836	0.000000	2128.737756	2144.896673	
7.450000	19.758872	0.000000	1924.524152	2141.589553	
7.500000	18.450901	0.000000	1790.917271	2134.408764	
7.550000	18.244677	0.000000	1764.423350	2125.604618	
