HawtC2_ProjectName: PcsFEM_Subs.CalStressAndStrain 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HawtC2 @CopyRight 赵子祯
计算时间：06/17/2025 17:15:52

Section 2 Strain and Stress Data at Force 0_0_0_30000_40000_0
Strains in beam coordinate system for each element
-4.819570155334060E-05	  -8.160585985992830E-06	   7.058041025429060E-05	  -4.185045412993900E-04	   2.527509877003030E-05	  -5.595187364830960E-05	
-4.823618377443730E-05	  -8.504137070854480E-06	   7.111789518171930E-05	  -4.199234678253040E-04	   2.475111411975490E-05	  -5.482737013028780E-05	
-4.832396126584220E-05	  -8.713962829330910E-06	   7.194627801057040E-05	  -4.227043033889570E-04	   2.529014713007280E-05	  -5.519009477355340E-05	
-4.882701847325840E-05	  -1.016394785260980E-05	   7.569640258098780E-05	  -4.594683373219020E-04	   2.867791354666060E-05	  -4.792653357614240E-05	
-4.933242829798130E-05	  -1.108005709611280E-05	   7.994597360745230E-05	  -5.070981564638840E-04	   3.347192149466330E-05	  -4.394161890008960E-05	
-4.974377841639410E-05	  -1.397605916446520E-05	   8.526409203122140E-05	  -5.666537136910230E-04	   3.691324031499650E-05	  -4.860842031050730E-05	
-5.025201790732070E-05	  -1.916775846102020E-05	   9.248453549338880E-05	  -6.398474604918260E-04	   3.808132765814420E-05	  -7.124412296538630E-05	
-3.499717517464040E-05	  -1.022740396769810E-05	   6.506556547931990E-05	  -3.798388337516900E-04	   4.506095206038320E-05	  -1.349632233308310E-04	
-3.512645768163140E-05	  -1.112732844338250E-05	   6.523604463971040E-05	  -3.827516630033210E-04	   4.307111057710800E-05	  -1.359418092523740E-04	
-3.540678059472200E-05	  -9.096862142018230E-06	   6.343528952212990E-05	  -3.889530857311360E-04	   4.573052403062710E-05	  -1.392624784472800E-04	
-3.701332527465180E-05	  -7.179398881178680E-06	   6.420584168257550E-05	  -4.228332271069120E-04	   4.882003262038010E-05	  -1.579287781727370E-04	
-3.862738318520880E-05	  -4.936998322051670E-06	   6.596374161576860E-05	  -4.648763722642160E-04	   5.289187727640950E-05	  -1.817971683543900E-04	
-3.994105553615070E-05	  -3.543365271011800E-06	   7.287903613750340E-05	  -5.159548942171610E-04	   6.243428720517270E-05	  -2.160459820539600E-04	
-4.156415016284760E-05	  -2.693439463995240E-06	   8.996833230099030E-05	  -6.240092991554260E-04	   7.922180587391740E-05	  -2.734311942254640E-04	
-1.993769615229740E-05	   6.159420000913670E-06	   3.705305404980090E-05	  -3.700947283040600E-04	   6.172168208221130E-05	  -1.965587777750010E-04	
-2.019210792940780E-05	   7.040415525345880E-06	   3.587178214732330E-05	  -3.692772544943390E-04	   6.391049792258980E-05	  -1.971794465942570E-04	
-2.083037632521580E-05	   8.081448487836830E-06	   3.435205104375070E-05	  -3.620455045919490E-04	   6.676407910587310E-05	  -2.083083418202670E-04	
-2.360365572642510E-05	   1.446305355717160E-05	   2.875954302714410E-05	  -3.612217661530730E-04	   7.757935107597900E-05	  -2.230454161435290E-04	
-2.623452619797600E-05	   2.044302009615570E-05	   2.477584852716590E-05	  -3.550681379096660E-04	   8.547252483089060E-05	  -2.456600344234400E-04	
-2.852587997911170E-05	   2.874627019380040E-05	   2.200936218838440E-05	  -3.450489790272970E-04	   9.320283471194530E-05	  -2.807231187186700E-04	
-3.135693903836410E-05	   3.988004730713720E-05	   1.845650258113650E-05	  -3.147651589835010E-04	   9.986885281602330E-05	  -3.313786956559700E-04	
-7.282989697224150E-07	  -1.129663767556560E-06	   1.248241574931640E-05	  -2.902752503553770E-04	   3.742137095930100E-05	  -1.937172121323540E-04	
-1.193173085473040E-06	   1.227823004052050E-06	   1.153553720204370E-05	  -2.893206281663770E-04	   4.088441945015870E-05	  -1.968921618917740E-04	
-2.507436672016420E-06	   2.179321478498040E-06	   1.451550158946210E-05	  -2.882112592191650E-04	   4.447272892567120E-05	  -1.995143163007910E-04	
-6.911750476354000E-06	   9.105035032760430E-06	   1.747756974704990E-05	  -2.714306980506440E-04	   5.732937107728740E-05	  -2.162160512084050E-04	
-1.078731195823550E-05	   1.518848941962760E-05	   1.925322523744560E-05	  -2.537260960072050E-04	   6.683144935096230E-05	  -2.283414324128110E-04	
-1.447230870811750E-05	   2.088788953706440E-05	   1.627098616950690E-05	  -2.214427128875030E-04	   6.866214230553390E-05	  -2.312503133965570E-04	
-1.902526928450570E-05	   2.714771231441620E-05	   1.097660508279690E-05	  -1.698341579700940E-04	   6.551868001199860E-05	  -2.237735072538320E-04	
 3.128969843509220E-05	  -6.876284765337300E-08	   6.442178673821570E-06	  -2.187503117439780E-04	   5.885310487727160E-05	  -1.987660481444800E-04	
 3.064345967374750E-05	   1.403848541891500E-06	   4.862187111928430E-06	  -2.160681323779980E-04	   5.985294125838570E-05	  -2.008449316488700E-04	
 2.876495829340260E-05	   1.754216408926270E-06	   6.344132446247600E-06	  -2.176967017759880E-04	   5.980338213609510E-05	  -1.970231243174970E-04	
 2.287311772727210E-05	   3.992793171348500E-06	   8.030074407998260E-06	  -2.082574746553270E-04	   6.170134098483000E-05	  -1.978653160967950E-04	
 1.780975713495800E-05	   5.498910754426510E-06	   1.009992223406110E-05	  -2.008664770957260E-04	   6.312021908118390E-05	  -1.963620277574270E-04	
 1.286174496791470E-05	   7.530626883269610E-06	   1.127782158330080E-05	  -1.929613902933830E-04	   6.441541799532110E-05	  -1.922647312414800E-04	
 6.748278428559240E-06	   1.019233889346950E-05	   1.261307021680400E-05	  -1.850321479422850E-04	   6.546058490745750E-05	  -1.846255413167920E-04	
