HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	BlPitchC  B_0	BlPitchC  B_2	GenTq     	GenPwr    	
(s)	(deg)     	(deg)     	(kN-m)    	(kW)      	
4.850000	0.000000	0.000000	24.712823	2411.459474	
4.900000	0.000000	0.000000	24.661101	2409.617502	
4.950000	0.000000	0.000000	24.637350	2410.999804	
5.000000	0.000000	0.000000	24.636581	2414.417924	
5.050000	0.000000	0.000000	24.648095	2416.003134	
5.100000	0.000000	0.000000	24.659131	2413.995556	
5.150000	0.000000	0.000000	24.657969	2409.021986	
5.200000	0.000000	0.000000	24.637053	2402.308339	
5.250000	0.000000	0.000000	24.595254	2394.457701	
5.300000	0.000000	0.000000	24.538251	2386.360120	
5.350000	0.000000	0.000000	24.476343	2381.174377	
5.400000	0.000000	0.000000	24.421268	2379.693604	
5.450000	0.000000	0.000000	24.383405	2380.442613	
5.500000	0.000000	0.000000	24.368646	2382.784181	
5.550000	0.000000	0.000000	24.376193	2386.784407	
5.600000	0.000000	0.000000	24.398915	2390.862114	
5.650000	0.000000	0.000000	24.425927	2393.224672	
5.700000	0.000000	0.000000	24.446081	2393.303718	
5.750000	0.000000	0.000000	24.451266	2391.119616	
5.800000	0.000000	0.000000	24.438826	2386.966113	
5.850000	0.000000	0.000000	24.411873	2382.553140	
5.900000	0.000000	0.000000	24.377906	2379.631486	
5.950000	0.000000	0.000000	24.346499	2378.543336	
6.000000	0.000000	0.000000	24.326447	2379.507686	
6.050000	0.000000	0.000000	24.322883	2383.620128	
6.100000	0.000000	0.000000	24.336237	2388.840151	
6.150000	0.000000	0.000000	24.362649	2393.124544	
6.200000	0.000000	0.000000	24.394852	2396.068804	
6.250000	0.000000	0.000000	24.424088	2397.416923	
6.300000	0.000000	0.000000	24.442684	2397.167568	
6.350000	0.000000	0.000000	24.446546	2395.480612	
6.400000	0.000000	0.000000	24.436402	2392.806197	
6.450000	0.000000	0.000000	24.417383	2389.483338	
6.500000	0.000000	0.000000	24.396851	2387.433584	
6.550000	0.000000	0.000000	24.381738	2388.147499	
6.600000	0.000000	0.000000	24.376864	2391.770315	
6.650000	0.000000	0.000000	24.384390	2395.999778	
6.700000	0.000000	0.000000	24.403548	2399.354481	
6.750000	0.000000	0.000000	24.430278	2402.952169	
6.800000	0.000000	0.000000	24.458198	2407.159207	
6.850000	0.000000	0.000000	24.481336	2409.722293	
6.900000	0.000000	0.000000	24.496327	2409.240477	
6.950000	0.000000	0.000000	24.502558	2407.447059	
7.000000	0.000000	0.000000	24.501378	2406.450646	
7.050000	0.000000	0.000000	24.495789	2406.913831	
7.100000	0.000000	0.000000	24.490108	2408.619534	
7.150000	0.000000	0.000000	24.489088	2411.751026	
7.200000	0.000000	0.000000	24.496608	2416.673202	
7.250000	0.000000	0.000000	24.514720	2422.420153	
7.300000	0.000000	0.000000	24.543103	2428.099202	
7.350000	0.000000	0.000000	24.578891	2433.490921	
7.400000	0.000000	0.000000	24.617225	2440.308405	
7.450000	0.000000	0.000000	24.653257	2447.359046	
7.500000	0.000000	0.000000	24.684671	2451.788318	
7.550000	0.000000	0.000000	24.711844	2453.899868	
7.600000	0.000000	0.000000	24.736235	2457.546142	
7.650000	0.000000	0.000000	24.759553	2463.667455	
7.700000	0.000000	0.000000	24.784464	2470.149887	
7.750000	0.000000	0.000000	24.814181	2476.161673	
7.800000	0.000000	0.000000	24.850864	2484.290712	
7.850000	0.000000	0.000000	24.894815	2493.811709	
7.900000	0.000000	0.000000	24.945185	2503.027743	
7.950000	0.000000	0.000000	25.000127	2511.423494	
8.000000	0.000000	0.000000	25.056918	2519.572890	
8.050000	0.000000	0.000000	25.112478	2527.992313	
8.100000	0.000000	0.000000	25.164649	2535.190443	
8.150000	0.000000	0.000000	25.212827	2541.114100	
8.200000	0.000000	0.000000	25.257497	2547.677077	
8.250000	0.000000	0.000000	25.300012	2556.010801	
8.300000	0.000000	0.000000	25.342843	2563.804769	
8.350000	0.000000	0.000000	25.389028	2570.780222	
8.400000	0.000000	0.000000	25.440232	2578.374467	
8.450000	0.000000	0.000000	25.495967	2586.677354	
8.500000	0.000000	0.000000	25.553938	2594.955461	
8.550000	0.000000	0.000000	25.611153	2601.265548	
8.600000	0.000000	0.000000	25.664616	2606.529367	
8.650000	0.000000	0.000000	25.711678	2611.972492	
8.700000	0.000000	0.000000	25.751294	2617.667458	
8.750000	0.000000	0.000000	25.784827	2623.260269	
8.800000	0.000000	0.000000	25.815882	2627.554615	
8.850000	0.000000	0.000000	25.848601	2632.718438	
8.900000	0.000000	0.000000	25.885735	2640.347527	
8.950000	0.000000	0.000000	25.928488	2649.332561	
9.000000	0.000000	0.000000	25.976935	2658.106980	
9.050000	0.000000	0.000000	26.029985	2667.021256	
9.100000	0.000000	0.000000	26.085587	2676.061587	
9.150000	0.000000	0.000000	26.141388	2685.017761	
9.200000	0.000000	0.000000	26.195640	2692.368733	
9.250000	0.000000	0.000000	26.247388	2699.363595	
9.300000	0.000000	0.000000	26.296241	2707.552785	
9.350000	0.000000	0.000000	26.342897	2717.210490	
9.400000	0.000000	0.000000	26.389716	2725.558512	
9.450000	0.000000	0.000000	26.439785	2733.521024	
9.500000	0.000000	0.000000	26.494826	2744.409940	
9.550000	0.000000	0.000000	26.555087	2757.161076	
9.600000	0.000000	0.000000	26.620429	2768.984382	
9.650000	0.000000	0.000000	26.690259	2779.582042	
9.700000	0.000000	0.000000	26.762808	2791.419690	
9.750000	0.000000	0.000000	26.835587	2804.992747	
9.800000	0.000000	0.000000	26.907181	2817.954726	
9.850000	0.000000	0.000000	26.978061	2829.698334	
9.900000	0.000000	0.000000	27.049677	2841.306350	
9.950000	0.000000	0.000000	27.123425	2854.009942	
10.000000	0.000000	0.000000	27.200138	2867.430692	
10.050000	0.000000	0.000000	27.280133	2881.559129	
10.100000	0.000000	0.000000	27.363209	2896.133207	
