HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	HydroFxi  	HydroFyi  	HydroFzi  	HydroMxi  	HydroMyi  	HydroMzi  	MoorFxi   	MoorFyi   	MoorFzi   	MoorMxi   	MoorMyi   	MoorMzi   	
(s)	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	
1.700000	-3.546806	1.184753	79101.486438	789.379898	2189.793180	74.600647	-3.022215	1.128323	-1606.786331	57.675280	153.465150	74.600647	
1.750000	-3.788543	1.075212	79101.725140	882.384615	2476.791847	79.501033	-3.193966	1.020101	-1606.565493	48.109090	158.310982	79.501033	
1.800000	-4.019264	0.919316	79102.029828	970.384197	2779.641763	84.354599	-3.359915	0.868058	-1606.284246	35.685936	162.383390	84.354599	
1.850000	-4.208954	0.728033	79102.380927	1052.107350	3093.964293	89.182593	-3.495827	0.683065	-1605.962915	21.174100	164.138750	89.182593	
1.900000	-4.337396	0.508859	79102.757067	1125.617778	3415.535957	94.027198	-3.580834	0.472944	-1605.622792	5.149547	162.260567	94.027198	
1.950000	-4.405601	0.265645	79103.149919	1187.983905	3742.214141	98.912063	-3.610989	0.240932	-1605.271402	-12.099267	156.533569	98.912063	
2.000000	-4.427527	0.006652	79103.533272	1236.680972	4073.733511	103.810653	-3.597160	-0.007150	-1604.933592	-30.117829	147.701672	103.810653	
2.050000	-4.405780	-0.253821	79103.895775	1271.211188	4409.545277	108.671813	-3.547046	-0.259584	-1604.618856	-48.098143	136.297919	108.671813	
2.100000	-4.333624	-0.499662	79104.229297	1293.659207	4747.254201	113.435365	-3.461479	-0.500987	-1604.333167	-65.044695	122.432008	113.435365	
2.150000	-4.213028	-0.720460	79104.530010	1307.650503	5083.909932	118.025584	-3.343192	-0.719917	-1604.078204	-80.266677	106.358615	118.025584	
2.200000	-4.064413	-0.914225	79104.787141	1316.788676	5418.162927	122.341140	-3.204354	-0.913045	-1603.863122	-93.624374	88.937434	122.341140	
2.250000	-3.911543	-1.086256	79105.001723	1323.534932	5750.550678	126.286714	-3.059119	-1.084869	-1603.685941	-105.482810	71.119687	126.286714	
2.300000	-3.761326	-1.234663	79105.171534	1329.895774	6082.138887	129.812956	-2.910760	-1.233199	-1603.548983	-115.741319	53.102990	129.812956	
2.350000	-3.608084	-1.355118	79105.289931	1337.535949	6413.566402	132.878872	-2.755027	-1.353614	-1603.459852	-124.139461	34.581921	132.878872	
2.400000	-3.452951	-1.442251	79105.375543	1347.499491	6745.682429	135.512981	-2.593419	-1.440703	-1603.401726	-130.334597	15.638989	135.512981	
2.450000	-3.305439	-1.498274	79105.421737	1359.421065	7079.892438	137.772977	-2.433706	-1.496631	-1603.383650	-134.465818	-3.232820	137.772977	
2.500000	-3.188913	-1.526571	79105.446059	1371.965565	7419.027398	139.703646	-2.294945	-1.524792	-1603.390799	-136.732253	-20.804534	139.703646	
2.550000	-3.118964	-1.524171	79105.461016	1384.162164	7766.076639	141.328575	-2.192001	-1.522268	-1603.413425	-136.912450	-36.137106	141.328575	
2.600000	-3.100552	-1.483486	79105.466574	1396.465581	8123.167001	142.641193	-2.132155	-1.481428	-1603.453924	-134.498087	-48.787887	142.641193	
2.650000	-3.132971	-1.396055	79105.465387	1410.978193	8491.602010	143.615712	-2.116538	-1.393812	-1603.511234	-128.962876	-58.711368	143.615712	
2.700000	-3.214189	-1.258125	79105.452640	1430.719360	8872.222729	144.220176	-2.142451	-1.255668	-1603.590726	-120.121970	-66.111077	144.220176	
2.750000	-3.352160	-1.071166	79105.433835	1458.872761	9266.694295	144.411468	-2.213063	-1.068546	-1603.686434	-108.155050	-70.808616	144.411468	
2.800000	-3.553606	-0.841416	79105.401616	1498.200178	9677.360400	144.146044	-2.331487	-0.839435	-1603.804321	-93.601286	-72.647585	144.146044	
2.850000	-3.817815	-0.578590	79105.356816	1550.728747	10106.260873	143.412479	-2.497625	-0.579138	-1603.941277	-77.241248	-71.682814	143.412479	
2.900000	-4.133462	-0.291635	79105.301335	1617.734865	10554.412560	142.243419	-2.705198	-0.297399	-1604.092773	-59.765471	-68.365607	142.243419	
2.950000	-4.478183	0.007951	79105.239824	1699.264460	11021.100614	140.673911	-2.940510	-0.005567	-1604.251347	-41.944644	-63.610603	140.673911	
3.000000	-4.844472	0.307829	79105.176947	1793.948542	11505.348035	138.717489	-3.199012	0.285323	-1604.409988	-24.495514	-57.702787	138.717489	
3.050000	-5.240952	0.597680	79105.117276	1899.405122	12007.092555	136.383615	-3.485561	0.566575	-1604.562343	-7.952708	-50.307664	136.383615	
3.100000	-5.684441	0.875057	79105.074166	2013.405003	12527.349874	133.691670	-3.809126	0.836450	-1604.694257	7.618516	-40.833602	133.691670	
3.150000	-6.186794	1.139237	79105.052679	2134.352677	13067.790209	130.639811	-4.174247	1.093958	-1604.800854	22.189047	-29.006969	130.639811	
