HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	HSShftTq  	HSSBrTq   	HSShftPwr 	HSSGenPwr 	
(s)	(kN-m)    	(kN-m)    	(kW)      	(kW)      	
4.700000	18.892503	0.000000	1907.858990	2516.611883	
4.750000	21.769987	0.000000	2192.873340	2500.818115	
4.800000	26.072824	0.000000	2630.321094	2496.025976	
4.850000	30.052724	0.000000	3047.238455	2502.188522	
4.900000	31.914367	0.000000	3258.275486	2515.735282	
4.950000	31.409167	0.000000	3226.881204	2530.634485	
5.000000	29.505107	0.000000	3042.888812	2541.255165	
5.050000	25.864079	0.000000	2668.771586	2544.038698	
5.100000	21.057754	0.000000	2166.708776	2537.543118	
5.150000	18.189268	0.000000	1861.502353	2522.774423	
5.200000	17.607939	0.000000	1790.471000	2503.265421	
5.250000	19.074586	0.000000	1928.902083	2484.180433	
5.300000	21.060707	0.000000	2123.265809	2470.340000	
5.350000	24.378013	0.000000	2458.169122	2464.687205	
5.400000	28.023276	0.000000	2835.323667	2468.248728	
5.450000	30.602302	0.000000	3113.800430	2479.619940	
5.500000	31.500060	0.000000	3224.963777	2494.802957	
5.550000	30.287270	0.000000	3115.638727	2508.606578	
5.600000	27.563522	0.000000	2841.330254	2516.671262	
5.650000	23.684072	0.000000	2438.912510	2516.710710	
5.700000	20.667375	0.000000	2120.584071	2508.982895	
5.750000	19.480652	0.000000	1989.033294	2496.227119	
5.800000	19.118650	0.000000	1943.112901	2482.561585	
5.850000	20.611689	0.000000	2088.785651	2472.037487	
5.900000	23.772841	0.000000	2408.275623	2467.638180	
5.950000	27.381619	0.000000	2780.223433	2470.583561	
6.000000	28.845723	0.000000	2941.116196	2479.726158	
6.050000	28.987420	0.000000	2969.677196	2492.207937	
6.100000	28.795065	0.000000	2962.193820	2504.789439	
6.150000	27.182635	0.000000	2803.215805	2514.216895	
6.200000	24.782916	0.000000	2556.112487	2517.930808	
6.250000	21.549578	0.000000	2217.837101	2515.052623	
6.300000	20.015962	0.000000	2052.380310	2506.861320	
6.350000	19.152872	0.000000	1956.031259	2496.372471	
6.400000	20.732531	0.000000	2111.049158	2487.247971	
6.450000	23.359307	0.000000	2375.921003	2482.339606	
6.500000	25.493245	0.000000	2595.338948	2482.682079	
6.550000	26.491317	0.000000	2703.607191	2487.769059	
6.600000	27.769710	0.000000	2843.575376	2496.300037	
6.650000	29.190556	0.000000	2999.498403	2506.506491	
6.700000	28.330320	0.000000	2919.031272	2515.865655	
6.750000	25.403403	0.000000	2620.410982	2521.686708	
6.800000	22.970877	0.000000	2368.014242	2522.838775	
6.850000	21.463417	0.000000	2208.666504	2520.303994	
6.900000	22.170677	0.000000	2276.492746	2515.859881	
6.950000	22.615046	0.000000	2317.469291	2510.981743	
7.000000	23.301916	0.000000	2384.552724	2507.049487	
7.050000	24.471340	0.000000	2503.400918	2505.543122	
