HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	HSSBrTqC  	YawMomCom 	
(s)	(kN-m)    	(kN-m)    	
7.400000	0.000000	477668.392271	
7.450000	0.000000	389061.092006	
7.500000	0.000000	255622.962893	
7.550000	0.000000	-25405.416030	
7.600000	0.000000	-238389.504228	
7.650000	0.000000	-510596.871254	
7.700000	0.000000	-760373.213663	
7.750000	0.000000	-1033228.018029	
7.800000	0.000000	-1461873.848656	
7.850000	0.000000	-1836755.462290	
7.900000	0.000000	-2072748.400502	
7.950000	0.000000	-2284838.830679	
8.000000	0.000000	-2243414.365577	
8.050000	0.000000	-2121051.553378	
8.100000	0.000000	-2041572.897530	
8.150000	0.000000	-1866610.922125	
8.200000	0.000000	-1664464.922357	
8.250000	0.000000	-1604696.065853	
8.300000	0.000000	-1338136.341166	
8.350000	0.000000	-886692.511119	
8.400000	0.000000	-700185.342053	
8.450000	0.000000	-459284.596205	
8.500000	0.000000	-237064.580909	
8.550000	0.000000	-93633.317707	
8.600000	0.000000	-135641.298241	
8.650000	0.000000	-202528.211610	
8.700000	0.000000	-168211.492401	
8.750000	0.000000	-383196.154488	
8.800000	0.000000	-591475.940526	
8.850000	0.000000	-593569.472706	
8.900000	0.000000	-455351.857404	
8.950000	0.000000	-486615.085484	
9.000000	0.000000	-213167.163555	
9.050000	0.000000	-96573.407243	
9.100000	0.000000	-73264.748501	
9.150000	0.000000	-210869.559829	
9.200000	0.000000	-362078.111675	
9.250000	0.000000	-476014.915078	
9.300000	0.000000	-559991.781135	
9.350000	0.000000	-597949.772166	
9.400000	0.000000	-736423.454132	
9.450000	0.000000	-964439.284534	
9.500000	0.000000	-1066148.939320	
9.550000	0.000000	-1391702.003995	
9.600000	0.000000	-1655508.442033	
9.650000	0.000000	-1817585.203859	
9.700000	0.000000	-2103805.403879	
9.750000	0.000000	-2530263.002370	
9.800000	0.000000	-2918219.620922	
9.850000	0.000000	-3063373.098340	
9.900000	0.000000	-3275240.134102	
9.950000	0.000000	-3203911.789976	
10.000000	0.000000	-3099194.360286	
10.050000	0.000000	-2993623.446686	
10.100000	0.000000	-2725929.032656	
10.150000	0.000000	-2433630.570660	
10.200000	0.000000	-2174812.872189	
10.250000	0.000000	-1968265.733482	
10.300000	0.000000	-1854921.023408	
10.350000	0.000000	-1753219.800267	
10.400000	0.000000	-1630738.782008	
10.450000	0.000000	-1612370.166660	
10.500000	0.000000	-1364413.863624	
10.550000	0.000000	-1045609.312449	
10.600000	0.000000	-857963.427734	
10.650000	0.000000	-824310.937165	
10.700000	0.000000	-549877.755038	
10.750000	0.000000	-291470.862973	
10.800000	0.000000	-413965.810850	
10.850000	0.000000	-623725.916328	
10.900000	0.000000	-574788.581836	
10.950000	0.000000	-623998.821405	
11.000000	0.000000	-715815.252906	
11.050000	0.000000	-488234.058461	
11.100000	0.000000	-118039.445381	
11.150000	0.000000	117275.301999	
11.200000	0.000000	159593.565753	
11.250000	0.000000	31610.515101	
11.300000	0.000000	-295846.590155	
11.350000	0.000000	-618004.331691	
11.400000	0.000000	-985912.255933	
11.450000	0.000000	-1363704.051505	
11.500000	0.000000	-1509059.732379	
11.550000	0.000000	-1673757.023922	
11.600000	0.000000	-1635551.550012	
11.650000	0.000000	-1772311.421983	
11.700000	0.000000	-1841443.775600	
11.750000	0.000000	-1812912.101099	
11.800000	0.000000	-1800773.129161	
11.850000	0.000000	-1840319.111937	
11.900000	0.000000	-1746367.642178	
11.950000	0.000000	-1598564.958547	
12.000000	0.000000	-1607484.872333	
12.050000	0.000000	-1585709.661030	
12.100000	0.000000	-1433460.023993	
12.150000	0.000000	-1398399.589921	
12.200000	0.000000	-1477091.311507	
12.250000	0.000000	-1333134.431731	
12.300000	0.000000	-1241466.112219	
12.350000	0.000000	-1466430.013723	
12.400000	0.000000	-1279791.487706	
12.450000	0.000000	-1127187.250360	
12.500000	0.000000	-1040065.845724	
12.550000	0.000000	-723297.421555	
12.600000	0.000000	-487544.185147	
12.650000	0.000000	-149392.351311	
12.700000	0.000000	-254381.627288	
12.750000	0.000000	-437033.417861	
12.800000	0.000000	-250102.998565	
12.850000	0.000000	-84105.237549	
12.900000	0.000000	-46656.823219	
12.950000	0.000000	206079.379700	
13.000000	0.000000	627012.023935	
13.050000	0.000000	598500.536207	
13.100000	0.000000	444058.599271	
13.150000	0.000000	419943.294278	
13.200000	0.000000	229302.526310	
13.250000	0.000000	-8456.683254	
13.300000	0.000000	-476265.245431	
13.350000	0.000000	-880094.807764	
13.400000	0.000000	-1281490.828347	
13.450000	0.000000	-1472264.030293	
13.500000	0.000000	-1460496.864356	
13.550000	0.000000	-1405002.268909	
13.600000	0.000000	-1598600.278283	
13.650000	0.000000	-2089230.816756	
13.700000	0.000000	-2275193.507468	
13.750000	0.000000	-2600189.510748	
13.800000	0.000000	-3026074.703840	
13.850000	0.000000	-3154606.862411	
13.900000	0.000000	-2912481.358303	
13.950000	0.000000	-2804300.247302	
14.000000	0.000000	-2446410.193161	
14.050000	0.000000	-1795754.781062	
14.100000	0.000000	-1599017.290490	
14.150000	0.000000	-1824827.492974	
14.200000	0.000000	-1733672.181499	
14.250000	0.000000	-1766937.389846	
14.300000	0.000000	-2086925.363588	
14.350000	0.000000	-2042143.497512	
14.400000	0.000000	-1614073.980205	
14.450000	0.000000	-1552261.384617	
14.500000	0.000000	-1100834.948102	
14.550000	0.000000	-361410.457932	
14.600000	0.000000	79568.738723	
14.650000	0.000000	199620.503268	
14.700000	0.000000	165152.729692	
14.750000	0.000000	-110743.045071	
14.800000	0.000000	-471487.681114	
14.850000	0.000000	-695517.458881	
14.900000	0.000000	-628696.622073	
14.950000	0.000000	-898072.112838	
15.000000	0.000000	-1236885.945348	
15.050000	0.000000	-1304850.471358	
15.100000	0.000000	-1826350.887108	
15.150000	0.000000	-2437358.162942	
15.200000	0.000000	-2848040.903782	
15.250000	0.000000	-2966289.547168	
15.300000	0.000000	-3119430.778203	
15.350000	0.000000	-3295584.398881	
15.400000	0.000000	-3567672.645382	
15.450000	0.000000	-3791459.101158	
15.500000	0.000000	-4041568.386345	
15.550000	0.000000	-4170836.190283	
15.600000	0.000000	-4113498.674589	
15.650000	0.000000	-4046139.022183	
15.700000	0.000000	-3693420.956324	
15.750000	0.000000	-3303217.291547	
15.800000	0.000000	-3254155.982974	
15.850000	0.000000	-3091061.893405	
15.900000	0.000000	-3063997.528321	
15.950000	0.000000	-2976702.159395	
16.000000	0.000000	-3070462.894208	
16.050000	0.000000	-2727663.212826	
16.100000	0.000000	-2312523.651466	
16.150000	0.000000	-1946278.534419	
16.200000	0.000000	-1566609.894286	
16.250000	0.000000	-1065258.999416	
16.300000	0.000000	-682237.387922	
16.350000	0.000000	-598077.710661	
16.400000	0.000000	-836133.807486	
16.450000	0.000000	-808635.747701	
16.500000	0.000000	-862452.948325	
16.550000	0.000000	-1087173.575874	
16.600000	0.000000	-1316275.058219	
16.650000	0.000000	-1616022.019891	
16.700000	0.000000	-1743304.289691	
16.750000	0.000000	-2142328.379562	
16.800000	0.000000	-2795930.552765	
16.850000	0.000000	-3095546.116872	
16.900000	0.000000	-3044546.997619	
16.950000	0.000000	-3085659.905626	
17.000000	0.000000	-3236594.838823	
17.050000	0.000000	-3266083.762839	
17.100000	0.000000	-3584001.110146	
17.150000	0.000000	-4326517.646009	
17.200000	0.000000	-4613969.397892	
17.250000	0.000000	-4497049.052560	
17.300000	0.000000	-4330466.103814	
17.350000	0.000000	-3636234.038770	
17.400000	0.000000	-3529742.989277	
17.450000	0.000000	-3341591.617718	
17.500000	0.000000	-3165401.853994	
17.550000	0.000000	-3342340.710798	
17.600000	0.000000	-3155194.859844	
17.650000	0.000000	-3027093.070039	
17.700000	0.000000	-2792601.235898	
17.750000	0.000000	-2423435.114736	
17.800000	0.000000	-2100461.951275	
17.850000	0.000000	-1840440.205960	
17.900000	0.000000	-1681139.247410	
17.950000	0.000000	-1584043.553435	
18.000000	0.000000	-1515778.046087	
18.050000	0.000000	-1606862.011310	
18.100000	0.000000	-1900810.149102	
18.150000	0.000000	-2334257.853379	
18.200000	0.000000	-2385849.882012	
18.250000	0.000000	-2419175.581259	
18.300000	0.000000	-2362065.513102	
18.350000	0.000000	-2433415.000185	
18.400000	0.000000	-2631896.106967	
18.450000	0.000000	-2782992.989350	
18.500000	0.000000	-2495938.000707	
18.550000	0.000000	-2496636.797302	
18.600000	0.000000	-2642831.856511	
18.650000	0.000000	-2366827.891640	
18.700000	0.000000	-2050996.261759	
18.750000	0.000000	-2528344.543744	
18.800000	0.000000	-2695465.281806	
18.850000	0.000000	-2826408.437177	
18.900000	0.000000	-2716697.364469	
18.950000	0.000000	-2720881.081513	
19.000000	0.000000	-2530931.735514	
19.050000	0.000000	-2230350.510949	
19.100000	0.000000	-1994349.960766	
19.150000	0.000000	-2205549.054071	
19.200000	0.000000	-2646557.213329	
19.250000	0.000000	-2608143.899007	
19.300000	0.000000	-2559908.773588	
19.350000	0.000000	-2597847.630896	
19.400000	0.000000	-2324448.121565	
19.450000	0.000000	-1649119.496838	
19.500000	0.000000	-1184753.148287	
19.550000	0.000000	-1214318.351057	
19.600000	0.000000	-1259993.929957	
19.650000	0.000000	-1404947.945451	
19.700000	0.000000	-1855122.807999	
19.750000	0.000000	-2118192.083264	
19.800000	0.000000	-2118438.770839	
19.850000	0.000000	-2116216.383863	
19.900000	0.000000	-1748020.022868	
19.950000	0.000000	-1929614.082067	
20.000000	0.000000	-2004058.421430	
20.050000	0.000000	-1951769.550657	
20.100000	0.000000	-2102251.607243	
20.150000	0.000000	-2207521.877414	
20.200000	0.000000	-2147884.288651	
20.250000	0.000000	-2052528.334506	
20.300000	0.000000	-2356162.912800	
20.350000	0.000000	-2537720.152216	
20.400000	0.000000	-2290716.995268	
