HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
4.300000	-2847.061205	-2334.798220	-2755.081956	2442.654343	
4.350000	-3156.394675	-1961.604261	-2580.488371	2674.284375	
4.400000	-3154.000488	-1781.125258	-2543.770557	2578.634500	
4.450000	-3055.651608	-1781.015225	-2646.170008	2346.657645	
4.500000	-3175.359479	-1914.630033	-2934.756974	2266.256025	
4.550000	-3012.508370	-1766.675581	-2848.728864	2020.171644	
4.600000	-2699.425574	-1833.471222	-2867.166913	1558.162407	
4.650000	-2487.740529	-2089.958426	-3059.799531	1092.888596	
4.700000	-2587.021295	-2308.137854	-3349.803493	893.865690	
4.750000	-2605.365853	-2293.638619	-3391.225007	740.474750	
4.800000	-2772.363669	-2177.776594	-3441.576847	764.369438	
4.850000	-3200.589953	-1766.148843	-3461.047063	1176.525056	
4.900000	-3682.188062	-1250.829807	-3498.496331	1698.119414	
4.950000	-3551.479908	-1116.479252	-3396.042405	1525.264515	
5.000000	-3522.044668	-1055.847953	-3410.859892	1373.189382	
5.050000	-3503.054274	-851.821456	-3344.347399	1346.228788	
5.100000	-3613.780377	-650.066942	-3395.352774	1397.703972	
5.150000	-3664.852005	-460.347993	-3415.039663	1407.325185	
5.200000	-3788.002477	-298.110739	-3521.894247	1426.216315	
5.250000	-3982.067962	-190.771654	-3726.860777	1415.545357	
5.300000	-4282.975949	-81.640795	-4039.344302	1426.268889	
5.350000	-4513.283928	-25.717170	-4311.191376	1335.673068	
5.400000	-4637.986897	-165.334862	-4530.997547	1004.150712	
5.450000	-4634.863034	-268.903271	-4595.092019	662.868687	
5.500000	-4670.218837	-465.601611	-4687.678171	231.089537	
5.550000	-4892.365014	-635.511198	-4930.745807	-163.880278	
5.600000	-4999.031655	-672.368095	-5023.413302	-455.758725	
5.650000	-5093.296592	-417.575214	-5089.084911	-466.102286	
5.700000	-5108.019994	64.236119	-5102.121249	-253.679892	
5.750000	-5092.325259	627.876570	-5130.732969	39.769991	
5.800000	-4615.681722	1298.913195	-4767.654456	511.042655	
5.850000	-4083.846612	2153.686317	-4455.523273	1210.157867	
5.900000	-3715.421283	2624.853974	-4284.974403	1527.483285	
5.950000	-3349.658344	3005.777134	-4134.425364	1778.042070	
6.000000	-3167.271041	3370.713937	-4187.317078	1964.609865	
6.050000	-3050.311627	3284.263429	-4142.630622	1711.548651	
6.100000	-3058.784268	3350.424666	-4265.436042	1545.172838	
6.150000	-2762.145765	3444.087050	-4133.960341	1549.695690	
6.200000	-2539.850120	3467.537083	-4038.288767	1472.031279	
6.250000	-2349.768046	3221.977429	-3811.148642	1173.751690	
6.300000	-1913.554510	3168.276350	-3498.311758	1208.917582	
6.350000	-1703.284416	3185.722340	-3414.857730	1178.452861	
6.400000	-1471.849235	2958.942828	-3148.300176	1004.931565	
6.450000	-1387.719033	2804.780372	-3025.403189	799.683329	
6.500000	-1288.500396	2763.553601	-2969.634461	691.904880	
6.550000	-1237.870726	2839.717388	-3035.167530	619.738726	
6.600000	-1021.920114	2570.216495	-2720.596978	498.684740	
6.650000	-1112.095052	2495.865921	-2721.916624	239.317723	
6.700000	-1322.571645	2385.973736	-2724.300215	-142.326394	
6.750000	-1425.129873	2447.151315	-2809.311145	-356.813085	
6.800000	-1466.266659	2407.859856	-2763.577077	-557.108650	
6.850000	-1519.685719	2559.074318	-2890.405763	-709.830709	
6.900000	-1380.777228	2704.182162	-2956.346598	-692.215942	
6.950000	-1035.961249	2667.880884	-2815.099566	-515.769267	
7.000000	-869.582116	2874.335487	-2965.837428	-470.943345	
7.050000	-705.380291	2695.364685	-2744.768412	-478.327371	
7.100000	-545.239186	2634.069170	-2649.475249	-464.636816	
7.150000	-370.395188	2436.038818	-2427.102596	-425.031053	
7.200000	-155.058399	2139.711988	-2121.911923	-316.071031	
7.250000	139.256455	2019.878424	-2021.048468	-121.093974	
7.300000	259.105503	1940.266523	-1955.126745	-96.173022	
7.350000	456.750947	2059.863632	-2109.591884	-35.811692	
7.400000	679.805970	2120.832446	-2226.597287	48.284608	
7.450000	945.510624	2158.144482	-2350.240388	167.176887	
7.500000	1140.528167	2383.751269	-2639.129051	134.438417	
7.550000	1390.669126	2241.592190	-2623.002574	280.274589	
7.600000	1754.470357	2282.575243	-2845.299289	438.848133	
7.650000	1897.641245	1960.486117	-2666.637153	577.575674	
7.700000	2219.228794	1851.885736	-2788.779426	759.714929	
7.750000	2486.641737	1525.384304	-2732.826417	1020.708213	
7.800000	2584.819957	1060.227830	-2497.565902	1252.015125	
7.850000	2937.497804	584.379959	-2465.682453	1700.236212	
7.900000	3131.590191	229.157442	-2455.230400	1957.348575	
7.950000	3361.018357	-128.908470	-2505.547181	2243.946346	
8.000000	3394.885616	-598.830111	-2370.571927	2502.845471	
8.050000	3264.455965	-968.801399	-2189.835638	2607.655545	
8.100000	3332.181718	-1105.242145	-2317.445370	2637.127663	
8.150000	3036.648310	-1026.110302	-2230.450674	2302.004478	
8.200000	2673.106930	-1207.730548	-1946.019616	2194.794393	
8.250000	2253.730887	-1202.904667	-1672.591520	1930.989478	
8.300000	1958.628338	-1195.658609	-1496.553859	1739.583548	
8.350000	1530.958687	-1079.992288	-1205.016061	1434.626885	
8.400000	1594.161778	-736.874152	-1412.587548	1043.519020	
8.450000	1679.688701	-553.167554	-1579.212524	795.886977	
8.500000	1556.365315	-353.436419	-1516.299735	498.022477	
8.550000	1182.469011	-324.975578	-1168.762054	371.264207	
8.600000	915.091258	-261.903403	-918.991734	247.870460	
8.650000	813.456076	-380.268095	-838.054407	322.459186	
8.700000	581.653866	-252.788799	-608.575057	178.493953	
8.750000	379.091695	-449.589648	-453.241022	374.718481	
8.800000	223.078615	-665.557907	-371.442878	595.618652	
8.850000	-133.143674	-838.251224	-111.280995	841.432766	
8.900000	-185.185055	-862.071949	-116.290815	874.035363	
8.950000	-215.811534	-940.859940	-166.499749	950.826026	
9.000000	40.449993	-1184.672148	-555.774429	1046.995329	
9.050000	93.970444	-961.859498	-550.771492	794.137923	
9.100000	216.281112	-607.512209	-507.614872	397.712764	
9.150000	374.120048	-611.770827	-659.791724	280.898783	
9.200000	335.200144	-779.749319	-748.857363	399.475645	
9.250000	176.784167	-919.205847	-744.778660	567.006691	
9.300000	-194.294190	-1190.754629	-704.687870	979.316993	
9.350000	-320.703612	-1010.150881	-539.021240	912.530411	
9.400000	-604.853654	-831.448593	-271.869578	991.585393	
9.450000	-789.930795	-928.261089	-298.112846	1181.857908	
9.500000	-712.854699	-1175.365641	-613.554515	1230.120723	
9.550000	-820.627004	-1779.256852	-1156.786358	1581.464084	
9.600000	-969.189140	-2406.398391	-1743.020073	1921.447581	
9.650000	-1227.338518	-2821.632386	-2131.746755	2218.924375	
9.700000	-1391.425068	-3044.872519	-2408.768005	2324.897657	
9.750000	-1786.357922	-3100.837285	-2479.090877	2580.770035	
9.800000	-2413.029150	-3440.592104	-2810.781464	3124.082712	
9.850000	-3045.642513	-3355.575052	-2791.601370	3569.703401	
9.900000	-3402.966565	-3141.467955	-2735.507750	3737.111320	
9.950000	-3426.384079	-3075.860754	-2875.672169	3596.044688	
10.000000	-3440.952512	-3336.238351	-3335.194959	3441.964016	
10.050000	-3453.346490	-3144.953513	-3334.949863	3270.235669	
10.100000	-3418.259224	-2959.829836	-3327.680139	3061.312263	
10.150000	-3292.290922	-2823.498062	-3341.038376	2765.643036	
10.200000	-3179.349828	-2542.964891	-3194.692068	2523.663375	
10.250000	-3062.438021	-2031.915701	-2810.364109	2368.346240	
10.300000	-2917.834875	-1469.440451	-2362.790996	2256.154618	
10.350000	-2896.708644	-1205.678612	-2236.775982	2200.321427	
10.400000	-2533.608199	-625.094466	-1677.886171	1998.652268	
10.450000	-2420.949627	-299.782483	-1450.935796	1961.033326	
10.500000	-2392.806978	-372.953566	-1607.276669	1811.430810	
10.550000	-2183.554490	-399.062874	-1606.621039	1531.643259	
10.600000	-1998.645633	-434.219524	-1602.026236	1271.472895	
10.650000	-1975.107098	-391.636289	-1625.241306	1188.704189	
10.700000	-1915.562284	-441.835155	-1683.168996	1015.647092	
10.750000	-1761.236916	-456.779852	-1631.839567	804.800166	
10.800000	-1604.802529	-626.451248	-1654.675426	479.458679	
10.850000	-1879.524102	-517.146783	-1845.508216	627.814913	
10.900000	-1949.264682	-397.265333	-1877.094483	658.762841	
10.950000	-1899.364532	-176.853317	-1765.898589	721.432477	
11.000000	-2228.637204	94.029598	-1993.850112	1000.113245	
11.050000	-2234.055645	164.773292	-2028.265466	950.943974	
11.100000	-2179.402276	23.306434	-2070.605570	680.389580	
11.150000	-1916.070533	99.451279	-1832.633157	568.044089	
11.200000	-1940.190523	98.209887	-1886.485314	463.850792	
11.250000	-2237.948120	72.925305	-2208.810406	367.268330	
11.300000	-2453.524909	259.989487	-2427.696572	440.077765	
11.350000	-2733.259726	598.000585	-2723.837426	639.548559	
11.400000	-3066.823511	1116.751515	-3112.385292	982.648092	
11.450000	-3522.332064	1719.067861	-3679.210497	1351.083761	
11.500000	-3416.565671	2110.938883	-3710.619527	1536.323199	
11.550000	-3289.911140	2600.958873	-3777.837371	1821.112012	
11.600000	-3048.472559	2925.226783	-3735.760762	1973.380359	
11.650000	-2870.078663	3453.444235	-3852.557992	2306.821593	
11.700000	-2610.190937	3443.809912	-3738.818651	2166.600862	
11.750000	-2474.559060	3729.030278	-3864.491547	2257.169814	
11.800000	-2412.509782	4104.705391	-4122.933547	2381.224201	
11.850000	-2358.257925	4316.287530	-4326.879834	2338.767446	
11.900000	-2273.945910	4229.834627	-4339.436351	2057.090269	
11.950000	-2146.562459	4354.594775	-4436.533024	1971.648190	
12.000000	-2021.861827	4608.290381	-4629.460605	1972.907438	
12.050000	-1693.490876	4487.931067	-4426.469411	1848.190065	
12.100000	-1354.559285	4509.363400	-4328.372272	1853.209262	
12.150000	-1035.627031	4483.322371	-4221.242531	1831.342225	
12.200000	-572.133461	4060.250483	-3716.175951	1732.917839	
12.250000	-267.015840	3609.089094	-3270.514873	1549.371753	
12.300000	-98.478085	3256.585986	-2966.992477	1346.107467	
12.350000	436.812218	2992.830939	-2592.754851	1557.390372	
12.400000	796.338087	3071.765583	-2637.836198	1764.005870	
12.450000	898.213462	2841.524137	-2490.010551	1637.343404	
12.500000	568.922928	2624.716194	-2442.683331	1116.292331	
12.550000	643.225979	2623.576684	-2492.996999	1040.125506	
12.600000	667.514819	2508.292486	-2434.220019	900.932931	
12.650000	532.235149	2585.030632	-2565.530637	619.443814	
12.700000	610.763293	2658.574522	-2673.926513	539.599284	
12.750000	986.339498	2525.184775	-2601.535606	762.518239	
12.800000	1275.254421	2936.587835	-3092.435249	828.652969	
12.850000	1198.604967	3161.539628	-3341.216257	517.938113	
12.900000	1190.121960	3450.414882	-3642.708680	228.966733	
12.950000	1431.610308	3564.235063	-3835.856825	198.696929	
13.000000	1134.851036	3250.831941	-3437.987077	-189.841120	
13.050000	1195.233236	3295.129380	-3486.265126	-363.886805	
13.100000	1620.781787	3411.892251	-3768.168021	-262.395721	
13.150000	2013.343271	3591.513339	-4109.130706	-259.928073	
13.200000	2101.576435	3206.393831	-3827.931748	-211.007171	
13.250000	2251.181157	2508.682387	-3368.602177	117.574761	
13.300000	2687.999419	2009.458001	-3307.085627	571.355356	
13.350000	3179.887210	1476.329437	-3331.279114	1092.616852	
13.400000	3784.542914	862.919850	-3468.025677	1743.614704	
13.450000	3805.761297	414.119941	-3322.223857	1902.141872	
13.500000	3716.685062	-17.021813	-3126.687894	2009.442907	
13.550000	3817.665664	119.735102	-3399.434378	1741.480244	
13.600000	4008.002235	-216.219169	-3528.774178	1912.743604	
13.650000	4080.537402	-801.441253	-3490.528208	2260.377847	
13.700000	4287.397504	-1255.292341	-3678.560250	2534.902154	
13.750000	4393.085052	-1703.733406	-3817.664928	2761.763717	
13.800000	4399.928956	-2584.682161	-3819.027309	3384.521860	
13.850000	4378.453129	-2731.735037	-3981.744559	3283.130075	
13.900000	4123.408759	-3206.456972	-3891.289501	3484.498868	
13.950000	3561.384107	-3205.731973	-3539.305599	3230.091646	
14.000000	3053.361177	-3233.834818	-3228.736735	3058.751365	
14.050000	2705.412678	-2836.526367	-3021.348637	2497.316997	
14.100000	2614.505432	-2575.033297	-3035.229375	2062.478564	
14.150000	2244.828067	-2571.572290	-2798.917392	1954.046991	
14.200000	1463.524080	-2863.294327	-2259.128522	2288.382829	
14.250000	1272.423976	-2774.251158	-2188.001988	2127.952127	
14.300000	1202.076086	-2910.486290	-2310.461815	2139.552298	
14.350000	1157.816815	-3316.360368	-2594.047225	2368.481748	
14.400000	1163.382789	-3268.071771	-2716.789812	2157.035728	
14.450000	1179.905967	-3298.741239	-2878.173736	1997.495259	
14.500000	1556.389131	-3294.181079	-3287.031341	1571.432497	
14.550000	1693.823524	-2998.538143	-3279.456808	1051.394991	
14.600000	1681.346541	-2521.344433	-2985.066231	522.954790	
14.650000	1289.317208	-2064.851423	-2410.342243	340.882037	
14.700000	1019.095220	-1442.413472	-1765.722680	36.538081	
14.750000	483.542690	-1230.788410	-1296.399615	260.770785	
14.800000	193.737851	-1783.081129	-1650.853519	701.138708	
14.850000	384.782767	-2419.342139	-2348.067686	698.464232	
14.900000	23.760526	-2785.051039	-2591.238973	1021.055162	
14.950000	-241.494937	-3302.390633	-3057.578889	1270.949804	
15.000000	-659.464534	-3483.401420	-3199.961517	1526.181115	
15.050000	-1205.515404	-3459.731706	-3160.935143	1852.430542	
15.100000	-1977.472758	-3488.732339	-3198.981890	2418.298704	
15.150000	-2683.394763	-3281.732677	-3090.426354	2901.661658	
15.200000	-3127.449978	-2810.722237	-2794.168690	3142.248392	
15.250000	-3263.854724	-2867.851978	-3052.245341	3092.106373	
15.300000	-3854.362364	-2685.778644	-3132.793187	3500.731766	
15.350000	-4065.839012	-2867.661409	-3566.230105	3469.370340	
15.400000	-4715.722068	-2769.097621	-3843.548332	3890.125106	
15.450000	-5096.122623	-2411.440913	-3859.203471	4109.995483	
15.500000	-5556.164367	-1822.415907	-3733.284774	4500.527868	
15.550000	-5686.815056	-925.844176	-3255.992050	4753.479390	
15.600000	-5294.549740	62.203360	-2497.229760	4669.043331	
15.650000	-5039.172250	258.957178	-2486.503118	4390.628811	
15.700000	-4731.540397	821.412778	-2125.546670	4306.303043	
15.750000	-4463.394129	1137.651506	-1981.257382	4158.216043	
15.800000	-4247.361581	1166.377955	-2073.478864	3886.026294	
15.850000	-3911.289146	1230.168417	-2028.319142	3563.343826	
15.900000	-3934.145602	1418.854229	-2150.883227	3586.690487	
15.950000	-3928.819881	1399.664331	-2383.242946	3422.694600	
16.000000	-3686.939374	1366.013924	-2410.227519	3106.496640	
16.050000	-4038.179440	1614.972417	-2796.591995	3330.781731	
16.100000	-4138.861317	1575.947607	-3112.441602	3150.632798	
16.150000	-3920.840343	1289.362332	-3206.495270	2598.813507	
16.200000	-3365.751542	1026.337491	-2913.931587	1972.474761	
16.250000	-2584.267251	1049.632549	-2269.190604	1622.016913	
16.300000	-1906.688160	1255.435484	-1666.057446	1560.714810	
16.350000	-1762.034548	933.447594	-1653.224620	1114.871801	
16.400000	-1544.882536	1030.974830	-1500.520349	1094.536394	
16.450000	-1216.104516	1238.781349	-1243.967638	1210.798748	
16.500000	-2074.331708	1501.772770	-2197.342286	1315.241969	
16.550000	-2909.581370	1833.906097	-3153.462754	1372.788194	
16.600000	-2895.902953	2215.282983	-3303.974030	1541.910915	
16.650000	-2420.483026	2744.123472	-3086.516905	1965.289898	
16.700000	-2155.070625	3134.782803	-3089.679950	2219.250373	
16.750000	-1695.124777	3288.471453	-2866.148013	2339.378051	
16.800000	-875.664245	3760.310348	-2498.387579	2943.600201	
16.850000	-70.240688	4070.505486	-2152.037862	3455.818990	
16.900000	29.844547	4256.146855	-2394.526979	3518.795158	
16.950000	-63.576638	4865.592773	-3069.163128	3776.012774	
17.000000	-507.298339	5493.923289	-4058.282102	3737.765532	
17.050000	-516.783691	5479.698566	-4289.020512	3449.415574	
17.100000	126.306839	5637.287832	-4206.845273	3754.653343	
17.150000	1331.991425	5574.440052	-3670.926865	4401.463589	
17.200000	2621.738013	5167.915203	-2906.638885	5013.213506	
17.250000	3386.427661	4749.293613	-2488.523452	5275.503375	
17.300000	3306.200911	4408.499053	-2554.562860	4882.626147	
17.350000	3103.110858	4041.509017	-2602.596424	4380.591564	
17.400000	2917.752779	3578.635332	-2500.870266	3881.437781	
17.450000	3277.455502	3311.516502	-2402.496315	3991.975712	
17.500000	3198.274872	2930.339272	-2298.951542	3678.406639	
17.550000	3201.499609	2533.217356	-2140.850019	3476.140409	
17.600000	3277.933327	2152.932893	-1981.024095	3384.598873	
17.650000	3679.279942	2014.682394	-2066.989567	3650.150777	
17.700000	3529.304413	1586.524347	-1864.146201	3390.871279	
17.750000	3323.740344	1437.049494	-1905.721907	3079.055476	
17.800000	3041.795601	1256.133250	-1868.329888	2709.194696	
17.850000	2888.189371	698.571354	-1464.595150	2585.459620	
17.900000	2577.902762	121.689063	-984.223253	2385.727501	
17.950000	2548.140406	-220.668572	-813.738019	2424.777079	
18.000000	2182.650776	-132.237750	-883.207225	2000.348885	
18.050000	2141.850227	-317.204268	-834.173923	1998.072737	
18.100000	2197.445309	-410.079029	-920.312517	2037.144156	
18.150000	2722.814911	-501.735355	-1310.136566	2439.057530	
18.200000	3597.104486	-407.359736	-2129.094405	2927.807676	
18.250000	3764.390656	-584.800157	-2317.011155	3023.919183	
18.300000	3733.936340	-494.231929	-2547.367973	2774.429851	
18.350000	3832.695053	-658.268144	-2709.061093	2789.956328	
18.400000	3923.357984	-940.775547	-2813.997878	2891.230314	
18.450000	4277.016829	-1328.322929	-3125.782670	3207.304073	
18.500000	4332.811637	-1583.183644	-3276.218976	3247.478507	
18.550000	4457.058693	-1423.293088	-3657.839028	2917.422006	
18.600000	4760.453164	-1449.608095	-4126.098510	2781.831791	
18.650000	4290.834145	-1820.937599	-3759.879648	2755.064200	
18.700000	3707.169767	-2262.495719	-3286.878839	2838.736351	
18.750000	3261.495671	-2624.127901	-2989.773607	2929.958285	
18.800000	2690.660987	-2862.059338	-2600.220929	2944.467799	
18.850000	1889.979271	-3144.579655	-2000.238906	3075.621442	
18.900000	1419.148987	-3117.872431	-1729.391195	2957.079456	
18.950000	1240.441789	-3239.242678	-1766.630679	2985.029947	
19.000000	1225.778237	-3243.345532	-1948.133875	2868.204194	
19.050000	1043.022997	-3325.230407	-1984.518170	2864.741413	
19.100000	1160.526277	-2960.999107	-2149.105800	2344.286760	
19.150000	815.850515	-2846.155127	-1939.422709	2237.152420	
19.200000	465.699418	-3187.814192	-1941.607797	2570.835183	
19.250000	-142.685463	-3568.047351	-1800.874148	3083.532656	
19.300000	-529.485008	-3671.254129	-1752.498587	3269.129846	
19.350000	-564.609059	-3401.484365	-1765.622970	2961.664623	
19.400000	-648.353899	-3537.636892	-1993.813876	2993.316594	
19.450000	-999.423090	-3083.306284	-1616.783428	2809.205510	
19.500000	-785.087074	-2279.674259	-1302.837755	2028.765593	
19.550000	-870.603940	-1665.131677	-880.314334	1660.018500	
19.600000	-1093.118190	-1439.713902	-681.852202	1674.144865	
19.650000	-1341.286850	-910.932369	-208.269719	1607.940386	
19.700000	-1725.890457	-674.938701	52.124961	1852.437014	
19.750000	-1962.819437	-1214.392068	-503.867763	2252.448805	
19.800000	-1998.964218	-2059.690946	-1459.377216	2471.518671	
19.850000	-2034.149734	-2609.675133	-2153.783231	2511.849295	
19.900000	-2030.134731	-2693.255193	-2400.721872	2368.882672	
19.950000	-2066.483064	-2599.505049	-2458.245544	2232.668194	
20.000000	-2637.855910	-2532.283625	-2536.129650	2634.158658	
20.050000	-2891.429442	-2110.707890	-2304.148503	2739.772366	
20.100000	-2839.649781	-1715.107078	-2084.118199	2581.018553	
20.150000	-2959.185303	-1664.864300	-2227.813476	2562.303615	
20.200000	-2942.175957	-1309.927625	-2048.433940	2485.201785	
20.250000	-3081.354741	-929.575923	-1898.173915	2599.191426	
20.300000	-3277.743421	-877.753430	-2098.549261	2666.485039	
